node,adap_betweenness,adap_degree,betweenness,degree,random,seamless_mavg
1,0.7956967213114755,0.7192622950819673,0.9200819672131147,0.9672131147540984,0.4825614754098361,0.7387182377049178
2,0.31352459016393447,0.26643442622950825,0.24795081967213117,0.22540983606557377,0.49168032786885246,0.25860860655737705
3,0.26434426229508196,0.23881147540983608,0.33606557377049184,0.35655737704918034,0.4934426229508197,0.25201229508196726
4,0.15368852459016394,0.2057377049180328,0.1168032786885246,0.19262295081967215,0.5111475409836066,0.20166598360655738
5,0.5824180327868853,0.5703893442622952,0.7008196721311476,0.8073770491803279,0.5091803278688525,0.5702090163934427
6,0.8092008196721312,0.8117008196721313,0.7254098360655739,0.5286885245901639,0.5252868852459016,0.7989774590163934
7,0.2827868852459017,0.26233606557377054,0.2766393442622951,0.3483606557377049,0.4690983606557377,0.28068032786885244
8,0.23155737704918034,0.19698770491803277,0.2807377049180328,0.24385245901639346,0.4552049180327869,0.19863217213114753
9,0.6029303278688525,0.5044262295081967,0.5184426229508197,0.5573770491803279,0.5266598360655738,0.5286659836065575
10,0.2868852459016394,0.1678893442622951,0.19262295081967215,0.1639344262295082,0.5046516393442624,0.1767858606557377
11,0.7935245901639345,0.8081557377049181,0.9221311475409837,0.9385245901639345,0.49592213114754097,0.795797131147541
12,0.5,0.4039959016393443,0.6618852459016393,0.7356557377049181,0.5463524590163935,0.4270809426229508
13,0.18032786885245902,0.16389344262295083,0.17827868852459017,0.1762295081967213,0.48372950819672134,0.15008913934426227
14,0.13524590163934427,0.13438524590163936,0.13524590163934427,0.14754098360655737,0.4889344262295082,0.1163514344262295
15,0.39549180327868855,0.3083196721311476,0.3442622950819672,0.2807377049180328,0.49764344262295085,0.3084395491803279
16,0.46516393442622955,0.416905737704918,0.6209016393442623,0.5594262295081968,0.4798360655737705,0.5746506147540983
17,0.7840573770491803,0.8449180327868853,0.8381147540983607,0.9692622950819673,0.4974180327868853,0.8205850409836064
18,0.5061475409836066,0.4023770491803279,0.46516393442622955,0.7151639344262295,0.48706967213114755,0.5009211065573771
19,0.2725409836065574,0.21926229508196723,0.26229508196721313,0.20491803278688525,0.4798360655737705,0.24552971311475416
20,0.5132786885245901,0.5976639344262296,0.6045081967213115,0.5901639344262295,0.5318852459016393,0.5847069672131149
21,0.8103688524590164,0.8450614754098361,0.9241803278688525,0.9897540983606558,0.5152459016393443,0.8136536885245901
22,0.8187704918032788,0.799016393442623,0.903688524590164,0.8463114754098361,0.476516393442623,0.8055522540983608
23,0.25,0.2783811475409836,0.22336065573770492,0.24590163934426232,0.5398770491803279,0.2775071721311476
24,0.004098360655737705,0.20403688524590163,0.004098360655737705,0.23565573770491804,0.5245901639344263,0.18682889344262293
25,0.8084631147540984,0.782110655737705,0.6454918032786886,0.6721311475409837,0.5159836065573771,0.7593155737704917
26,0.2213114754098361,0.3531147540983607,0.34016393442622955,0.49385245901639346,0.46426229508196726,0.33114754098360655
27,0.8107581967213114,0.8134426229508197,0.9077868852459017,0.9405737704918034,0.5584426229508197,0.8208073770491804
28,0.800389344262295,0.8309221311475411,0.9016393442622951,0.8094262295081968,0.49385245901639346,0.8252643442622951
29,0.7980327868852459,0.8254508196721312,0.9262295081967213,0.9426229508196722,0.4786475409836066,0.8224364754098362
30,0.3627049180327869,0.36817622950819673,0.33196721311475413,0.36680327868852464,0.5038934426229509,0.37879713114754104
31,0.04713114754098361,0.00819672131147541,0.028688524590163935,0.00819672131147541,0.5248155737704918,0.008505122950819673
32,0.2377049180327869,0.414405737704918,0.3237704918032787,0.33401639344262296,0.4967213114754099,0.40274590163934426
33,0.8194057377049181,0.8437704918032787,0.9282786885245902,0.944672131147541,0.5151434426229509,0.8235584016393442
34,0.09221311475409837,0.04602459016393443,0.0819672131147541,0.045081967213114756,0.511577868852459,0.05430430327868853
35,0.444672131147541,0.3445081967213115,0.36065573770491804,0.26434426229508196,0.5236475409836066,0.3439938524590164
36,0.389344262295082,0.42508196721311475,0.4754098360655738,0.39344262295081966,0.5053278688524591,0.3943586065573771
37,0.8079918032786886,0.6913934426229508,0.7295081967213115,0.6188524590163935,0.5167827868852459,0.7418084016393443
38,0.7895491803278689,0.823360655737705,0.6434426229508197,0.6065573770491803,0.5293852459016393,0.720970286885246
39,0.21926229508196723,0.13186475409836065,0.2028688524590164,0.11475409836065574,0.515594262295082,0.16988217213114754
40,0.7906352459016394,0.7919467213114755,0.6885245901639344,0.6454918032786886,0.4728483606557377,0.7521178278688525
41,0.20081967213114754,0.18008196721311476,0.12704918032786885,0.19672131147540983,0.48217213114754104,0.1764754098360656
42,0.8041598360655738,0.6464959016393443,0.7192622950819673,0.7520491803278689,0.5120491803278688,0.7090963114754099
43,0.8029918032786886,0.8297131147540984,0.6987704918032788,0.7684426229508197,0.5052459016393442,0.8271946721311476
44,0.32991803278688525,0.3182991803278689,0.3524590163934426,0.46311475409836067,0.5226639344262295,0.3478176229508197
45,0.0389344262295082,0.1603483606557377,0.07377049180327869,0.17827868852459017,0.4834426229508197,0.1493053278688525
46,0.8058606557377049,0.7238319672131148,0.5717213114754098,0.4877049180327869,0.4700819672131148,0.7299344262295082
47,0.8060655737704919,0.6727459016393443,0.5491803278688525,0.46926229508196726,0.5099180327868853,0.7036157786885247
48,0.8114959016393443,0.8248360655737705,0.8975409836065574,0.7172131147540984,0.5239139344262295,0.8307438524590165
49,0.48565573770491804,0.4721516393442623,0.3422131147540984,0.3422131147540984,0.5110655737704919,0.45946004098360654
50,0.5834631147540984,0.5508196721311476,0.7520491803278689,0.6475409836065574,0.5235655737704918,0.6284323770491803
51,0.26229508196721313,0.17493852459016396,0.23155737704918034,0.13319672131147542,0.5138114754098361,0.19072336065573778
52,0.7921926229508197,0.8299180327868853,0.9303278688524591,0.9098360655737705,0.45936475409836064,0.8185297131147541
53,0.24590163934426232,0.290922131147541,0.2336065573770492,0.3442622950819672,0.5099795081967213,0.30823872950819675
54,0.36885245901639346,0.3717827868852459,0.375,0.45901639344262296,0.5180737704918033,0.4147110655737706
55,0.7984836065573772,0.7954098360655739,0.6372950819672132,0.5614754098360656,0.5681762295081967,0.815110655737705
56,0.8025000000000001,0.7245491803278689,0.75,0.8114754098360656,0.4438114754098361,0.742875
57,0.7980327868852459,0.8208196721311476,0.6229508196721312,0.48975409836065575,0.5021516393442623,0.7954303278688525
58,0.7770696721311475,0.6778483606557378,0.7377049180327869,0.8135245901639344,0.4648565573770492,0.6933319672131147
59,0.045081967213114756,0.8090983606557377,0.569672131147541,0.5737704918032788,0.5189139344262295,0.7469918032786885
60,0.788094262295082,0.8448360655737704,0.7172131147540984,0.6495901639344263,0.4623975409836066,0.8303227459016392
61,0.8047540983606558,0.7836475409836067,0.5594262295081968,0.5040983606557378,0.5016393442622952,0.7664456967213115
62,0.30532786885245905,0.2650819672131148,0.30327868852459017,0.3155737704918033,0.534077868852459,0.2621065573770492
63,0.04918032786885246,0.014344262295081968,0.04098360655737705,0.014344262295081968,0.4689754098360656,0.026965163934426235
64,0.14959016393442623,0.17008196721311478,0.18442622950819673,0.1987704918032787,0.46639344262295085,0.16916188524590156
65,0.0860655737704918,0.07172131147540985,0.05327868852459017,0.06762295081967214,0.5229508196721312,0.07466188524590164
66,0.7876024590163936,0.8307581967213116,0.6967213114754098,0.6618852459016393,0.5077868852459017,0.8084170081967216
67,0.7923975409836066,0.8317008196721312,0.9057377049180328,0.8483606557377049,0.4706967213114754,0.824439549180328
68,0.7916598360655738,0.7262704918032787,0.7151639344262295,0.5799180327868853,0.4997131147540984,0.7264036885245903
69,0.79625,0.7190573770491803,0.9323770491803279,0.8790983606557378,0.5106967213114755,0.7319375000000001
70,0.36475409836065575,0.7774590163934426,0.4405737704918033,0.44672131147540983,0.4678893442622951,0.6262151639344263
71,0.8372336065573771,0.718155737704918,0.7848360655737705,0.8504098360655739,0.48635245901639346,0.7146700819672132
72,0.8001024590163934,0.8450409836065574,0.6557377049180328,0.8155737704918034,0.4799180327868853,0.8249252049180328
73,0.4016393442622951,0.2534426229508197,0.30122950819672134,0.22745901639344263,0.5018032786885246,0.26578381147540975
74,0.2930327868852459,0.2521516393442623,0.29918032786885246,0.29713114754098363,0.47872950819672133,0.29854815573770493
75,0.194672131147541,0.20102459016393442,0.20081967213114754,0.1598360655737705,0.5114549180327869,0.20711782786885244
76,0.12704918032786885,0.21262295081967214,0.16598360655737707,0.23155737704918034,0.5161270491803279,0.21723668032786886
77,0.8252868852459017,0.6218852459016394,0.5901639344262295,0.7192622950819673,0.5347540983606557,0.5346834016393442
78,0.07172131147540985,0.0430327868852459,0.05532786885245902,0.0430327868852459,0.5035245901639345,0.04368852459016394
79,0.18237704918032788,0.24581967213114755,0.26434426229508196,0.2377049180327869,0.49116803278688526,0.23631249999999998
80,0.27868852459016397,0.1435655737704918,0.22540983606557377,0.15163934426229508,0.5411680327868852,0.15887909836065567
81,0.7748155737704918,0.7064754098360656,0.48975409836065575,0.3278688524590164,0.5451639344262296,0.6766567622950819
82,0.7959426229508197,0.8262090163934427,0.9118852459016394,0.8176229508196722,0.5489139344262296,0.8189456967213115
83,0.6764959016393443,0.7571311475409837,0.8442622950819673,0.819672131147541,0.4830327868852459,0.7231690573770492
