label,protocol,m,mean_AUC_S1,sd_AUC_S1,sem_AUC_S1,mean_AUC_S2,sd_AUC_S2,sem_AUC_S2,mean_p_LCC_0_5,sd_p_LCC_0_5,mean_p_LCC_0_25,sd_p_LCC_0_25,mean_p_LCC_0_1,sd_p_LCC_0_1,mean_p_LCC_0_05,sd_p_LCC_0_05,mean_max_S2_over_N,sd_max_S2_over_N,mean_p_at_max_S2,sd_p_at_max_S2,n
US Airlines,adap_betweenness,,0.29505971177102924,0.0001540210921132758,1.540210921132691e-05,0.019779335192152615,5.709749658630033e-05,5.709749658630014e-06,0.34099878567091685,0.0,0.4180327868852459,0.0,0.4544028103044496,0.0,0.46830601092896174,0.0,0.0696721311475409,0.0,0.4549180327868852,0.0,100
US Airlines,adap_degree,,0.33863502754635844,0.0009853062757515679,9.853062757515658e-05,0.0066354810534802,0.00045989709362499655,4.5989709362499665e-05,0.3938514832162373,0.003665445319877686,0.47590811668290234,0.0038141642317317506,0.49015700080848845,0.0042988180377489735,0.5012692721104586,0.0072896481820228605,0.07229508196721307,0.0275897870490492,0.4817213114754098,0.010896623791613061,100
US Airlines,betweenness,,0.34634926766998114,,0.0,0.009095337274926053,,0.0,0.3811475409836066,,0.493559718969555,,0.5377049180327869,,0.5520150273224044,,0.0368852459016393,,0.4282786885245901,,1
US Airlines,degree,,0.3673113746304757,,0.0,0.00985958075786075,,0.0,0.3934426229508196,,0.5153688524590164,,0.5484469370146678,,0.607172131147541,,0.0512295081967213,,0.5409836065573771,,1
US Airlines,random,,0.48939704548508467,0.003156866414832994,0.0003156866414832996,0.0024993281375973804,0.0007443814744386702,7.443814744386705e-05,0.4903558743169399,0.004691920284222367,0.7309536657559199,0.008379786735219026,0.8787805327868853,0.007775490907132787,0.9318282786885246,0.007626811713336178,0.006741803278688493,0.0038230846635948557,0.6524180327868853,0.25063234237631393,100
US Airlines,seamless,1.0,0.37800582840634234,0.005990896243557037,0.0005990896243557041,0.011587610857296381,0.002101574668896901,0.00021015746688969004,0.38713481576104525,0.010981774430959256,0.5576260483813974,0.013679915346731544,0.6419086758699515,0.02329578693134549,0.6783914744537854,0.031129504144003242,0.03950819672131143,0.011273144699742629,0.4365983606557377,0.20259588802236023,100
US Airlines,seamless,2.0,0.3486144517602795,0.0039311141196867756,0.000393111411968677,0.00878653251814024,0.0015444593632375386,0.0001544459363237538,0.38388152524299174,0.009111273658850392,0.48963626514967695,0.01005087778931727,0.5351950839631221,0.016701330570605084,0.5630256041940068,0.02250438603186591,0.04932377049180323,0.018561270847614816,0.4776639344262295,0.06383099456186465,100
US Airlines,seamless,3.0,0.34170711838215534,0.0028048767866489625,0.00028048767866489674,0.00786616500940603,0.0010074026121237505,0.00010074026121237503,0.38828968085153936,0.0063701279369353546,0.47455236058032896,0.008216227889884386,0.5075370649523228,0.011927165496388727,0.5282848838375803,0.016274883889532334,0.05614754098360652,0.017456040567127774,0.48219262295081966,0.035849204520874395,100
US Airlines,seamless,4.0,0.3385172416689062,0.002247497097138808,0.00022474970971388106,0.007401320209621024,0.0007224412461763974,7.224412461763976e-05,0.39123940281030445,0.005134791093426045,0.4678856179724968,0.00722742799533033,0.4959102688798589,0.010270155836189754,0.5118864257830091,0.012949143305806128,0.05948770491803274,0.01906894705467758,0.47338114754098365,0.025241308173131586,100
US Airlines,seamless,5.0,0.3373588669040581,0.0020515700674806174,0.00020515700674806153,0.007186954111797859,0.0006557820169748745,6.557820169748745e-05,0.39236236871052443,0.00431732948604216,0.46615203822133383,0.006128155316203176,0.48871048948671364,0.008889231379616037,0.5047999313661989,0.011166568108872581,0.06633196721311471,0.023479525687175287,0.4698770491803279,0.019213083599919818,100
US Airlines,seamless,6.0,0.33666008801397473,0.0017067426360303716,0.00017067426360303778,0.007060895928513795,0.0006178797968435295,6.178797968435293e-05,0.39356081674473065,0.003419322515642895,0.4637593823390977,0.006211085727644215,0.486935620639777,0.007607043546685168,0.5038423340579152,0.011019191461669742,0.06190573770491799,0.01870930760253754,0.46954918032786885,0.01900782471067709,100
US Airlines,seamless,7.0,0.3360903067051868,0.0017196630663296134,0.00017196630663296136,0.006879409097016885,0.0006260918332996376,6.260918332996373e-05,0.393593237704918,0.003190673190496896,0.4626205758825151,0.0055304618705760795,0.484494071074556,0.0081462043109607,0.4983509354216343,0.009952722375252696,0.06614754098360652,0.025302711010935505,0.4676229508196721,0.01822864403893472,100
US Airlines,seamless,8.0,0.33560690170653046,0.0016729626287516723,0.00016729626287516735,0.006868365358774477,0.0006400780924810084,6.400780924810083e-05,0.3937260928961749,0.003440496355648676,0.4624427597493732,0.005928802961824318,0.4827239268460739,0.006818486990387862,0.497505060077067,0.009453952121294336,0.06786885245901635,0.02501984260549637,0.4682786885245902,0.015946145612961364,100
US Airlines,seamless,9.0,0.3354314616366568,0.0017821015480579292,0.00017821015480579317,0.006729709755442038,0.0005648600585688548,5.6486005856885466e-05,0.39393613387978144,0.0026594608589016046,0.46208002859171077,0.006069912861884414,0.4813572515804942,0.008229613672971828,0.4961276896563882,0.008626519326869971,0.06934426229508192,0.027578469726069053,0.4658196721311475,0.01778791347871147,100
US Airlines,seamless,10.0,0.3353766628594464,0.0018420087159425184,0.00018420087159425093,0.006763764780972809,0.0005807871643983812,5.807871643983812e-05,0.3943015710382513,0.003033202910961239,0.4613404535294632,0.00605538632937118,0.48224053193983457,0.007731200813516898,0.49685171195589006,0.00967337878176208,0.06682377049180324,0.021996994166684755,0.4676229508196721,0.015173385793541442,100
US Airlines,seamless,11.0,0.3346636908761086,0.0015322297947434475,0.0001532229794743455,0.0067777479172265055,0.0005813212280961613,5.813212280961615e-05,0.394603825136612,0.002380833412445301,0.45872008697328026,0.0054533799009266574,0.4799146186413196,0.006224166477082518,0.49551903081537624,0.008718137198268642,0.07045081967213111,0.02404734962153992,0.46247950819672135,0.01607124328844097,100
US Airlines,seamless,12.0,0.33458730851921525,0.001554728420683378,0.00015547284206833832,0.00668834822628321,0.0005572682109825076,5.572682109825076e-05,0.3943579234972677,0.002268120516046263,0.45971589574988436,0.006234054047090136,0.4788972503136181,0.006463481689778165,0.4932613828570541,0.008645907295831114,0.06897540983606554,0.02645836341162292,0.4615573770491803,0.0182730794982363,100
US Airlines,seamless,13.0,0.33463858001881214,0.0014234791314915688,0.00014234791314915793,0.006598528621338303,0.00046546079464817485,4.654607946481747e-05,0.39452185792349725,0.0019604208577367866,0.4597801671236249,0.0060245803148477085,0.4800812910903718,0.005712380969951659,0.49253830548797184,0.0077842302617126945,0.06698770491803276,0.023584141370898367,0.4628688524590164,0.016643236811166234,100
US Airlines,seamless,14.0,0.3343624865627519,0.0015665922147206557,0.00015665922147206607,0.006708546089760769,0.0005449996887946631,5.449996887946629e-05,0.3943741461748633,0.001992668704696067,0.4586032194740895,0.005670033393078651,0.48008345654732404,0.006968971935558943,0.4943170268059199,0.009024833571749073,0.06342213114754094,0.019629944467904607,0.46225409836065573,0.016491931750605805,100
