node,adap_betweenness,adap_degree,betweenness,degree,random,seamless_mavg
1,0.02962962962962963,0.03711111111111111,0.07407407407407407,0.037037037037037035,0.5427407407407407,0.05594444444444444
2,0.15162962962962961,0.1448148148148148,0.31851851851851853,0.13333333333333333,0.5003703703703704,0.15667037037037038
3,0.6736296296296297,0.5922962962962963,0.2518518518518519,0.4,0.5171111111111112,0.5365185185185186
4,0.08888888888888889,0.03725925925925926,0.02962962962962963,0.02962962962962963,0.5219259259259259,0.0456148148148148
5,0.6671851851851852,0.5491851851851852,0.20740740740740743,0.40740740740740744,0.5426666666666667,0.5835518518518519
6,0.6290370370370371,0.5640740740740742,0.6814814814814815,0.7185185185185186,0.5395555555555556,0.5941000000000002
7,0.5805185185185185,0.3835555555555556,0.5481481481481482,0.41481481481481486,0.5081481481481481,0.44293333333333323
8,0.3417777777777778,0.420962962962963,0.037037037037037035,0.14074074074074075,0.49437037037037035,0.39274074074074083
9,0.6547407407407407,0.7428888888888889,0.6888888888888889,0.725925925925926,0.5472592592592592,0.7213740740740742
10,0.6675555555555556,0.7374814814814815,0.5777777777777778,0.4222222222222222,0.4710370370370371,0.7066518518518519
11,0.45985185185185184,0.40311111111111114,0.11111111111111112,0.08888888888888889,0.5411851851851852,0.3864555555555556
12,0.20170370370370372,0.14570370370370372,0.32592592592592595,0.14814814814814814,0.5054814814814814,0.15728518518518517
13,0.6308888888888889,0.6951851851851851,0.6962962962962963,0.42962962962962964,0.4726666666666667,0.6666703703703704
14,0.6502222222222223,0.6691111111111111,0.6666666666666667,0.15555555555555556,0.5113333333333333,0.6471555555555556
15,0.16296296296296298,0.03674074074074074,0.5259259259259259,0.044444444444444446,0.5146666666666667,0.26297777777777775
16,0.6679259259259259,0.3731111111111111,0.4444444444444445,0.16296296296296298,0.4570370370370371,0.3604851851851852
17,0.17814814814814817,0.5105925925925927,0.16296296296296298,0.05185185185185186,0.459037037037037,0.4905296296296296
18,0.6534074074074074,0.733037037037037,0.08888888888888889,0.17037037037037037,0.49933333333333335,0.6968962962962963
19,0.6737037037037038,0.6411851851851852,0.1851851851851852,0.17777777777777778,0.5087407407407408,0.610162962962963
20,0.3792592592592593,0.6673333333333333,0.4518518518518519,0.1851851851851852,0.5055555555555555,0.5894629629629631
21,0.2314074074074074,0.19725925925925927,0.45925925925925926,0.1925925925925926,0.5171851851851852,0.33687407407407416
22,0.6255555555555556,0.7203703703703704,0.2888888888888889,0.2,0.4591851851851852,0.6796814814814816
23,0.6768888888888889,0.4651851851851852,0.10370370370370371,0.43703703703703706,0.5036296296296296,0.5095592592592593
24,0.2754814814814815,0.27451851851851855,0.4666666666666667,0.4444444444444445,0.45940740740740743,0.28687777777777773
25,0.652888888888889,0.6331851851851852,0.5333333333333333,0.4518518518518519,0.5009629629629629,0.6003814814814816
26,0.6727407407407408,0.7429629629629629,0.13333333333333333,0.45925925925925926,0.47074074074074074,0.7205814814814816
27,0.17777777777777778,0.1462962962962963,0.6518518518518519,0.20740740740740743,0.5681481481481482,0.4871925925925926
28,0.6651111111111112,0.7386666666666667,0.7037037037037037,0.7333333333333334,0.41740740740740745,0.7191
29,0.6436296296296297,0.7509629629629629,0.5851851851851853,0.4666666666666667,0.47755555555555557,0.7022629629629631
30,0.044444444444444446,0.07725925925925926,0.22962962962962963,0.0962962962962963,0.5058518518518519,0.09889999999999999
31,0.6878518518518518,0.7573333333333333,0.7111111111111111,0.7407407407407408,0.5452592592592592,0.7123666666666666
32,0.1774074074074074,0.5101481481481482,0.4222222222222222,0.4740740740740741,0.4976296296296297,0.5323666666666669
33,0.6526666666666667,0.5827407407407408,0.1925925925925926,0.4814814814814815,0.5319999999999999,0.575788888888889
34,0.6251851851851853,0.5612592592592592,0.7185185185185186,0.7481481481481482,0.528,0.7011
35,0.6434074074074074,0.6757037037037037,0.725925925925926,0.7555555555555555,0.5477037037037037,0.6610666666666669
36,0.022222222222222223,0.007407407407407408,0.06666666666666667,0.007407407407407408,0.5231111111111112,0.024077777777777778
37,0.686,0.5438518518518519,0.3037037037037037,0.21481481481481482,0.5098518518518519,0.5443555555555555
38,0.48029629629629633,0.4076296296296297,0.23703703703703705,0.22222222222222224,0.5661481481481482,0.3616481481481482
39,0.08148148148148149,0.07837037037037037,0.08148148148148149,0.05925925925925926,0.4860740740740741,0.12442962962962963
40,0.6677777777777778,0.7322962962962963,0.7333333333333334,0.762962962962963,0.5512592592592593,0.7317629629629631
41,0.6425925925925926,0.5557037037037037,0.7407407407407408,0.48888888888888893,0.47874074074074074,0.5377000000000001
42,0.6860740740740742,0.6251851851851853,0.0962962962962963,0.4962962962962963,0.5443703703703704,0.5808074074074074
43,0.6495555555555556,0.48229629629629633,0.26666666666666666,0.22962962962962963,0.49740740740740746,0.4341074074074075
44,0.037037037037037035,0.01874074074074074,0.014814814814814815,0.014814814814814815,0.5188148148148148,0.03004074074074074
45,0.6711851851851852,0.7280000000000001,0.05185185185185186,0.23703703703703705,0.5139259259259259,0.7161111111111111
46,0.6601481481481483,0.5421481481481482,0.22222222222222224,0.5037037037037038,0.5208148148148148,0.5613851851851852
47,0.6383703703703705,0.7652592592592593,0.12592592592592594,0.24444444444444446,0.534,0.6992407407407408
48,0.27414814814814814,0.26762962962962966,0.4740740740740741,0.5111111111111112,0.5015555555555555,0.2800555555555555
49,0.24200000000000002,0.21207407407407408,0.6592592592592593,0.2518518518518519,0.5414074074074074,0.3432888888888888
