label,protocol,m,removed,p,mean_S1_over_N,sd_S1_over_N,sem_S1_over_N,mean_S2_over_N,sd_S2_over_N,sem_S2_over_N,n
US Power Grid — San Francisco,adap_betweenness,,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100
US Power Grid — San Francisco,adap_betweenness,,1,0.0074074074074074,0.5333333333333333,0.0,1.1158161231197418e-17,0.362962962962963,0.0,0.0,100
US Power Grid — San Francisco,adap_betweenness,,2,0.0148148148148148,0.362962962962963,0.0,0.0,0.24444444444444438,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,3,0.0222222222222222,0.2814814814814815,0.0,5.579080615598709e-18,0.24444444444444438,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,4,0.0296296296296296,0.2814814814814815,0.0,5.579080615598709e-18,0.24444444444444438,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,5,0.037037037037037,0.2814814814814815,0.0,5.579080615598709e-18,0.1777777777777777,0.0,5.579080615598709e-18,100
US Power Grid — San Francisco,adap_betweenness,,6,0.0444444444444444,0.22962962962962957,0.0,2.7895403077993544e-18,0.1777777777777777,0.0,5.579080615598709e-18,100
US Power Grid — San Francisco,adap_betweenness,,7,0.0518518518518518,0.1777777777777777,0.0,5.579080615598709e-18,0.1037037037037037,0.0,4.1843104616990316e-18,100
US Power Grid — San Francisco,adap_betweenness,,8,0.0592592592592592,0.1037037037037037,0.0,4.1843104616990316e-18,0.0962962962962963,0.0,1.3947701538996772e-18,100
US Power Grid — San Francisco,adap_betweenness,,9,0.0666666666666666,0.0962962962962963,0.0,1.3947701538996772e-18,0.08888888888888878,0.0,1.3947701538996772e-18,100
US Power Grid — San Francisco,adap_betweenness,,10,0.074074074074074,0.08888888888888878,0.0,1.3947701538996772e-18,0.0814814814814814,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,11,0.0814814814814814,0.0814814814814814,0.0,2.7895403077993544e-18,0.0814814814814814,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,12,0.0888888888888888,0.0814814814814814,0.0,2.7895403077993544e-18,0.0814814814814814,0.0,2.7895403077993544e-18,100
US Power Grid — San Francisco,adap_betweenness,,13,0.0962962962962963,0.0814814814814814,0.0,2.7895403077993544e-18,0.0666666666666666,0.0,1.3947701538996772e-18,100
US Power Grid — San Francisco,adap_betweenness,,14,0.1037037037037037,0.0666666666666666,0.0,1.3947701538996772e-18,0.051851851851851795,0.0,1.3947701538996772e-18,100
US Power Grid — San Francisco,adap_betweenness,,15,0.1111111111111111,0.051851851851851795,0.0,1.3947701538996772e-18,0.051851851851851795,0.0,1.3947701538996772e-18,100
