seamless_id,original_id,lat,lon
1,NLD_0,51.4946567,4.2960754
2,NLD_1,51.5399789,4.4578403
3,NLD_10,51.4333216,4.1171144
4,NLD_1008,51.582016900000006,5.1934345
5,NLD_1012,51.8994088,5.1958728999999995
6,NLD_1013,51.94698060000001,5.226601199999999
7,NLD_1015,51.8078029,5.2633823
8,NLD_1017,51.8825733,5.2709444
9,NLD_1023,51.64981099999999,5.2927051
10,NLD_1026,51.68965609999999,5.2928401
11,NLD_103,51.5920221,5.9970961
12,NLD_1037,51.7005543,5.3191158000000005
13,NLD_1038,51.71502690000001,5.3690961999999995
14,NLD_104,51.526454,6.0142546
15,NLD_1049,52.346391800000006,4.9172469
16,NLD_1053,52.3316938,4.9176682000000005
17,NLD_1056,52.31836210000001,4.9414197999999985
18,NLD_1057,52.31172900000001,4.9473287
19,NLD_106,51.94344520000001,6.014453100000001
20,NLD_1060,52.2980894,4.9599574
21,NLD_1061,52.2956478,4.974421799999999
22,NLD_1062,52.31206770000001,5.043854700000001
23,NLD_1064,52.6643137,5.0605357
24,NLD_1066,52.345623399999994,4.9662255
25,NLD_1068,52.38869420000002,4.9181208
26,NLD_1071,52.4963796,4.935029200000001
27,NLD_1072,52.6452038,5.0542714
28,NLD_1074,52.33009800000001,4.9552798000000005
29,NLD_1075,52.32371680000001,4.9363673
30,NLD_1078,52.328939000000005,4.9662522
31,NLD_1079,52.6533353,5.084912399999999
32,NLD_108,51.923197300000005,6.0719818000000005
33,NLD_1080,52.40199309999999,4.9323589000000005
34,NLD_1082,52.3230792,4.9735502
35,NLD_1087,52.29627110000001,4.989299
36,NLD_1089,52.30661069999999,4.952236400000001
37,NLD_1090,51.964759,4.5608378
38,NLD_1093,51.93303529999999,4.563032399999999
39,NLD_1095,51.9657663,4.570266800000001
40,NLD_1098,51.92849120000001,4.578322899999999
41,NLD_110,51.933455299999984,6.1330468
42,NLD_1101,51.9688713,4.5784685000000005
43,NLD_1104,51.954134599999975,4.5840874000000005
44,NLD_1107,51.9796857,4.5864304
45,NLD_1109,51.931394,4.5895479
46,NLD_1112,51.9359471,4.6003816
47,NLD_1115,51.9653148,4.6168528
48,NLD_112,51.959148,6.260030099999999
49,NLD_1120,51.193594399999995,5.9947813000000005
50,NLD_1121,51.235404900000006,6.0315126
51,NLD_1123,51.4269307,6.0413095000000006
52,NLD_1126,51.2829604,6.079449699999999
53,NLD_1127,51.3391609,6.1431495
54,NLD_1128,51.3723302,6.1551662
55,NLD_113,51.9584492,6.295763
56,NLD_1131,51.3655717,6.1705644999999985
57,NLD_114,51.930853600000006,6.3483665
58,NLD_1140,52.0810297,4.3237246
59,NLD_115,51.922625499999995,6.3642821
60,NLD_1159,52.07999040000001,4.3348431
61,NLD_1162,52.07888190000001,4.3424367
62,NLD_1171,52.371353000000006,4.901084599999998
63,NLD_1172,52.3789689,4.9013387
64,NLD_1176,52.385890200000006,4.7472349000000005
65,NLD_1178,52.3890363,4.838763200000001
66,NLD_1179,52.39510310000001,4.850595800000001
67,NLD_1180,52.43822839999999,4.8136341
68,NLD_1182,52.457826300000015,4.8056834
69,NLD_1183,52.4692791,4.8051566
70,NLD_1184,52.4890911,4.792942200000001
71,NLD_1186,52.494971500000005,4.7552167
72,NLD_1187,52.6702428,4.823681700000001
73,NLD_1188,52.678044799999995,4.909218299999998
74,NLD_1189,52.4567546,4.8191929
75,NLD_1190,52.3850483,4.8836242
76,NLD_1198,52.238322800000006,6.1007009
77,NLD_1201,52.25701969999999,6.1612717
78,NLD_1205,52.2840605,6.421178
79,NLD_1208,52.3354376,6.1134201
80,NLD_121,51.957133299999995,6.213717900000002
81,NLD_1211,52.39099589999999,6.141045299999999
82,NLD_1212,52.3914016,6.278230000000001
83,NLD_1213,52.4269576,6.222031000000001
84,NLD_1214,52.5046802,6.0913417
85,NLD_1215,52.5097013,6.417220599999999
86,NLD_1216,52.6918925,6.1980483
87,NLD_1223,52.250350000000005,6.215678900000001
88,NLD_1226,52.2614701,6.7961412999999995
89,NLD_1230,52.357705200000005,6.654414299999998
90,NLD_1233,52.6630362,6.7360253
91,NLD_1234,53.1039225,6.884978500000001
92,NLD_1235,53.1391673,7.035781099999999
93,NLD_1236,53.15970560000001,6.771004400000001
94,NLD_1239,53.16081019999999,6.7405089
95,NLD_124,52.08511849999999,5.624300499999999
96,NLD_1241,53.1614575,6.7237659
97,NLD_1242,53.16543479999999,6.977958999999999
98,NLD_1244,53.1847702,7.200524599999999
99,NLD_1245,53.1593423,6.8667625
100,NLD_1254,52.278560199999994,4.9773816
101,NLD_1255,52.3169789,4.979007299999999
102,NLD_1257,52.3115025,4.9842363999999995
103,NLD_126,51.91968929999999,5.722172400000002
104,NLD_1261,52.34294659999998,5.1522517
105,NLD_1282,52.3675453,5.1903657999999995
106,NLD_129,51.811219099999995,5.7297547
107,NLD_1298,52.3267211,4.946409100000001
108,NLD_130,52.00567169999999,5.792394399999998
109,NLD_1303,52.329448299999974,4.9305189
110,NLD_1311,52.33995949999999,4.9210115000000005
111,NLD_1320,52.31179569999999,6.5191895
112,NLD_1325,52.409132600000014,5.8930385
113,NLD_133,51.8239665,5.794224299999999
114,NLD_1331,52.4541575,6.0027572000000005
115,NLD_1332,52.457293400000005,6.569709499999999
