node,adap_degree,betweenness,degree,random,seamless_mavg
1,0.23222241748166259,0.017313569682151586,0.041014669926650364,0.5346398227383863,0.23448499006723714
2,0.7222977536674816,0.7299969437652811,0.7404798288508557,0.5528020323960879,0.7187061086491442
3,0.6927436583129584,0.01777200488997555,0.07288355745721271,0.4984371179706601,0.6797381685513447
4,0.0031859718826405866,0.016687041564792175,0.002681845965770171,0.4727337255501222,0.01922531326405868
5,0.26373341992665034,0.017665036674816625,0.07289119804400977,0.4637887377750611,0.2954916335574571
6,0.46460605134474325,0.6121867359413202,0.3424434596577017,0.4809380348410757,0.46563216687041553
7,0.6192354828850855,0.7300045843520782,0.7404874694376528,0.556981738997555,0.6308168971577017
8,0.559442466381418,0.4814104523227383,0.34245110024449876,0.5140366748166258,0.5077890548594131
9,0.6211406632029339,0.12204309290953544,0.04102231051344743,0.5261870415647921,0.5414218558985331
10,0.6610327781173594,0.7300122249388752,0.7404951100244498,0.5062222646699266,0.6606349098410755
11,0.5591759627139363,0.6121943765281173,0.3424587408312958,0.5082782701711491,0.5654901283618582
12,0.5591313416870415,0.7300198655256723,0.7405027506112469,0.4602217298288508,0.5740291870415648
13,0.7289134321515892,0.7300275061124694,0.740510391198044,0.5400239150366748,0.7328581028422982
14,0.6987302108801955,0.7300351466992664,0.740518031784841,0.47779286369193147,0.6932027315097798
15,0.019896775672371636,0.016786369193154033,0.01805470660146699,0.5120427872860636,0.04543222035452323
16,0.6567528270171148,0.7300427872860635,0.740525672371638,0.5218677414425428,0.650353163202934
17,0.7354618734718825,0.6950794621026894,0.3424663814180929,0.526135391198044,0.7228702551955991
18,0.43255661674816626,0.7041564792176038,0.34247402200488997,0.5155606662591686,0.4435268910452323
19,0.4632037744498777,0.7189104523227383,0.342481662591687,0.44256998777506107,0.48130020629584347
20,0.394593673594132,0.580440097799511,0.3424893031784841,0.5323897463325182,0.38510851925427875
21,0.029721042176039117,0.10173441320293397,0.026436430317848408,0.4854162591687041,0.08169594284841072
22,0.7299724174816625,0.7300504278728606,0.7405333129584352,0.528679706601467,0.7211895209352076
23,0.5620865678484107,0.6122020171149144,0.3424969437652811,0.5408396240831295,0.5736585956601467
24,0.7297856051344742,0.40602078239608796,0.3425045843520782,0.4446714547677261,0.699696741289731
25,0.724377444987775,0.7300580684596576,0.7405409535452322,0.48368123471882635,0.7291931463936431
26,0.7270193306845965,0.7300657090464547,0.7405485941320292,0.49352154645476765,0.7273623013447432
27,0.1280757946210269,0.4756341687041564,0.07289883863080684,0.5336755042787286,0.1424714776894865
28,0.6553162438875304,0.7300733496332518,0.7405562347188264,0.5449235177261613,0.6597950680012226
29,0.0014326100244498776,0.11345507334963324,0.001184290953545232,0.4592218826405867,0.013810780867970659
