label,protocol,m,stochastic_id,AUC_S1,AUC_S2,p_LCC_0.5,p_LCC_0.25,p_LCC_0.1,p_LCC_0.05,max_S2_over_N,p_at_max_S2
EU Power Grid,adap_degree,,1,0.014815434351947416,0.00224441799324563,0.013772737746258862,0.016901789198396206,0.02236745744337307,0.03148579015169437,0.1639211491442542,0.0148991442542787
EU Power Grid,adap_degree,,2,0.015256261416512432,0.0021293123896878436,0.01459520895790515,0.01773237355006899,0.023048328372488484,0.03160210181886773,0.1524831907090464,0.0158924205378973
EU Power Grid,adap_degree,,3,0.014657085408963749,0.0026242126015693546,0.013215356337680917,0.018078790791729988,0.022889734952920873,0.029792530385174102,0.227666564792176,0.0139058679706601
EU Power Grid,adap_degree,,4,0.014975005158330086,0.0024203359658486155,0.014085774872961544,0.016450244718772197,0.022969666401667903,0.03190673959041129,0.2141427261613691,0.0148991442542787
EU Power Grid,adap_degree,,5,0.014453770375053736,0.002669353244409846,0.01231118632057207,0.01727814457280588,0.02298861552567227,0.03277483199133067,0.2631647310513447,0.0129125916870415
EU Power Grid,adap_degree,,6,0.0143654546957103,0.002692636951913985,0.012308210928224468,0.017994067023712427,0.02307442022680533,0.030072169836761024,0.2748013447432763,0.0129125916870415
EU Power Grid,adap_degree,,7,0.01520341772180861,0.0020592867152612803,0.014319238862517136,0.018015527100848267,0.023252406450314417,0.03232122052476984,0.1591687041564792,0.0158924205378973
EU Power Grid,adap_degree,,8,0.01497774486446079,0.002410462398878964,0.014083554334135799,0.018077094501807205,0.02299863790032892,0.03131023604099602,0.2079844132029339,0.0148991442542787
EU Power Grid,adap_degree,,9,0.014250166951024705,0.0026625608981855286,0.012311569537393626,0.017112616868267948,0.023027550527400138,0.02965552402742567,0.2532930929095354,0.0129125916870415
EU Power Grid,adap_degree,,10,0.014572465676671965,0.002393083099601107,0.01317756980224556,0.01697948088558957,0.022901035472218566,0.03132985645555638,0.1933756112469437,0.0139058679706601
EU Power Grid,adap_degree,,11,0.014700996599191569,0.002467123468052996,0.013256782378667734,0.017348292939861447,0.022187833603085447,0.030731831682336383,0.2479752444987774,0.0139058679706601
EU Power Grid,adap_degree,,12,0.014937522032070974,0.0022561964528435533,0.01403627945438826,0.0172666224419343,0.022799502940628186,0.030643335277047414,0.2136460880195599,0.0148991442542787
EU Power Grid,adap_degree,,13,0.01483720021671986,0.0023140945638439043,0.013761141126372488,0.016254442567993303,0.022571192291097292,0.029437982405676133,0.1699877750611246,0.0148991442542787
EU Power Grid,adap_degree,,14,0.014647060057720932,0.0023150508047648745,0.013208991672349632,0.016335624352441035,0.02282811552376512,0.029689762383336683,0.1974862469437652,0.0139058679706601
EU Power Grid,adap_degree,,15,0.015014127554739425,0.0023339403575607675,0.014092245857461229,0.01727336134480736,0.021982039622512124,0.030665676015282826,0.1668780562347188,0.0148991442542787
EU Power Grid,adap_degree,,16,0.014215469066178248,0.0028766298478495695,0.012305049932835163,0.017221403825936846,0.022292665357539303,0.03063977416893852,0.2459275672371638,0.0129125916870415
EU Power Grid,adap_degree,,17,0.015253187784980754,0.0020163014090997934,0.014492523260123978,0.017349684012825523,0.022976723322028464,0.03103665894008178,0.1502062958435207,0.0168856968215158
