node,adap_betweenness
1,0.5104096675618113
2,0.6378862857672006
3,0.3673897583109547
4,0.33531752940087045
5,0.8052110380590796
6,0.6604280025928326
7,0.450335401426058
8,0.4916758959162886
9,0.33842578016483005
10,0.6445198629502732
11,0.6162566904342994
12,0.36137901657560884
13,0.7381246411704788
14,0.23640911195481062
15,0.36446356144087416
16,0.6574677284933791
17,0.4149626817297898
18,0.40438911010278733
19,0.43207722937309007
20,0.8021057505324567
21,0.8164543013241966
22,0.7424205944994907
23,0.635771089915733
24,0.586115936660802
25,0.4082311325122696
26,0.37995110658394293
27,0.3521424205944995
28,0.5146119085100472
29,0.618367811834429
30,0.6432323363274378
31,0.3987209926845078
32,0.802425409760163
33,0.7325326419112881
34,0.42306806185757945
35,0.5604259653671636
36,0.6210339846282064
37,0.6653204926382074
38,0.797396240392629
39,0.4008352625243078
40,0.35544568941568666
41,0.330020557459024
42,0.32138160940827853
43,0.35599351791832573
44,0.23166719140661174
45,0.7882681729789796
46,0.6509319381424206
47,0.5800433373460505
48,0.6047100657468284
49,0.5332953051208446
50,0.5172730808408186
51,0.585906287619224
52,0.4379820353736457
53,0.661647745161589
54,0.8226756181127883
55,0.44578201685341234
56,0.5249841652004815
57,0.57993999444393
58,0.7196001481618668
59,0.543780535234744
60,0.5410332438188721
61,0.5050654690249097
62,0.5996984906009816
63,0.28137364570793594
64,0.5169621261227891
65,0.10262413186406148
66,0.5469587924807853
67,0.479278266506158
68,0.7271289934253172
69,0.4637118251689971
70,0.3069604593017872
71,0.301169737938698
72,0.7981496434855079
73,0.3663065098620243
74,0.5804157792388184
75,0.3968656357070099
76,0.4040346328363737
77,0.8121916844152236
78,0.3720772293730901
79,0.6848880451893694
80,0.21526882118714696
81,0.8192971571441799
82,0.22646911751088064
83,0.501366608019261
84,0.551392906750625
85,0.6048741550143532
86,0.7827119177701639
87,0.018386702472451152
88,0.2525146772849338
89,0.26919011019538847
90,0.25980220390776926
91,0.2752786369108251
92,0.21170163904065192
93,0.22848763774423558
94,0.2208839707380313
95,0.2172397444207797
96,0.23070913973516066
97,0.256595981109362
98,0.2313173441985369
99,0.2461259375868136
100,0.2489574960644504
101,0.27789406426520974
102,0.29852282618760995
103,0.2917483100287064
104,0.32629410130567643
105,0.3475188443374386
106,0.2677031206593203
107,0.3088122974349477
108,0.25198777664598576
109,0.24682396518196129
110,0.2927332160385221
111,0.24097379386980275
112,0.3255231039911103
113,0.3124292990091675
114,0.3686687656264469
115,0.16572664135568108
116,0.23082637281229743
117,0.2632486341327901
118,0.7867032132604871
119,0.5805524585609779
120,0.30782331697379384
121,0.6428495231039911
122,0.19671136216316326
123,0.35323992962311324
124,0.31589295305120846
125,0.45032077044170754
126,0.44685785720900084
127,0.2925982035373646
128,0.42581276044078153
129,0.1920212982683582
130,0.3482635429206408
131,0.7922126122789147
132,0.46185554217983144
133,0.5083526252430781
134,0.5531732567830355
135,0.3056203352162237
136,0.7091754792110381
137,0.4276884896749699
138,0.3067802574312436
139,0.49380998240577834
140,0.5795797759051764
141,0.1259114732845634
142,0.3261887211778869
143,0.805180850078711
144,0.6430395406982128
145,0.5366513566070933
146,0.711309565700528
147,0.8112801185294934
148,0.4308310028706362
149,0.1667411797388647
150,0.48058820261135293
151,0.7398147976664506
152,0.8012973423465136
153,0.6029130475043986
154,0.33859968515603295
155,0.12889767571071395
156,0.5181603852208538
157,0.3753323455875544
158,0.3376562644689323
159,0.3280977868321141
160,0.26420853782757664
161,0.28039336975645895
162,0.3124383739235114
163,0.6913601259375868
164,0.28532123344754146
165,0.3013232706732105
166,0.2524265209741643
167,0.6384096675618113
168,0.25123141031576995
169,0.23420668580424114
170,0.7714449486063524
171,0.5730128715621817
172,0.4492693767941476
173,0.2954199462913233
174,0.5457857209000834
175,0.4925563478099824
176,0.538172238170201
177,0.48659209186035746
178,0.5185254190202796
179,0.478704880081489
180,0.4626204278173905
181,0.37220613019724047
182,0.3983759607371053
183,0.18376034818038706
184,0.3609404574497639
185,0.37322752106676543
186,0.36195462542828044
187,0.3683502176127419
188,0.8172082600240764
189,0.5496049634225391
190,0.3313825354199463
191,0.3786357996110751
192,0.363812575238448
193,0.4081046393184554
194,0.34284767108065567
195,0.4001913140105566
196,0.34117714603204
197,0.4947493286415409
198,0.34821187146958055
199,0.457805167145106
200,0.43266969163811464
201,0.44220205574590243
202,0.47174053153069734
203,0.4087317344198537
204,0.6134905083804055
205,0.4263052134456894
206,0.40084637466432077
207,0.46702750254653214
208,0.38291360311139916
209,0.39506861746458005
210,0.6371062135382907
211,0.40477099731456617
212,0.4345246782109455
213,0.41370515788498935
214,0.30792665987591444
215,0.35944105935734794
216,0.340232243726271
217,0.37175294008704507
218,0.35249745346791367
219,0.6096864524493008
220,0.32367848874895827
221,0.32092990091675155
222,0.809118807296972
223,0.36876007037688674
224,0.5039998147976664
225,0.5991495508843412
226,0.5793073432725252
227,0.6370865820909343
228,0.6780718585054172
229,0.5890087971108435
230,0.5537259005463468
231,0.5214575423650338
232,0.7012328919344384
233,0.5213064172608575
234,0.559160292619687
235,0.562903416983054
236,0.5830450967682193
237,0.5694801370497269
238,0.6205054171682564
239,0.7985428280396333
240,0.4526628391517733
241,0.410187424761552
242,0.541831095471803
243,0.5342289100842671
244,0.38848374849523104
245,0.5325833873506807
246,0.5484163348458191
247,0.5708230391702935
248,0.6756107046948792
249,0.4912227058060932
250,0.11630854708769331
251,0.44101194555051393
252,0.39969997221965
253,0.47441929808315586
254,0.0591632558570238
255,0.5311476988610057
256,0.6801207519214743
257,0.5963772571534401
258,0.3786198722103899
259,0.5281774238355403
260,0.6679687008056302
261,0.5428224835632929
262,0.5927374756921937
263,0.581724233725345
264,0.4695910732475229
265,0.38214167978516533
266,0.4686065376423743
267,0.4691493656820076
268,0.5829443466987685
269,0.33309547180294474
270,0.3328334105009723
271,0.8172866006111676
272,0.6620003704046671
273,0.5873084544865266
274,0.7998201685341235
275,0.6082553940179646
276,0.5782266876562644
277,0.8198122048337809
278,0.6612497453467914
279,0.5726015371793685
280,0.6502687285859803
281,0.5786702472451153
282,0.31089878692471523
