label,protocol,m,stochastic_id,AUC_S1,AUC_S2,p_LCC_0.5,p_LCC_0.25,p_LCC_0.1,p_LCC_0.05,max_S2_over_N,p_at_max_S2
EU Railways,adap_betweenness,,1,0.027704915110266282,0.008608709186468754,0.020415922032146393,0.033850165322363124,0.043931582532022694,0.05880504808646297,0.2937494212427076,0.0166682100194462
EU Railways,adap_betweenness,,2,0.029035494149846824,0.007662837874101861,0.023263336872219566,0.03371355989889655,0.042505248194993205,0.05773248126068146,0.2922307621076025,0.0194462450226872
EU Railways,adap_betweenness,,3,0.02256150725304483,0.009947177204050299,0.011295930045124108,0.026849699647385646,0.04330549826912208,0.05590686859164742,0.4640059264746736,0.0111121400129641
EU Railways,adap_betweenness,,4,0.026487783004330443,0.00896626853938769,0.020522880297749013,0.031087376986824417,0.04150157391320877,0.056803190918618233,0.451152884526345,0.0166682100194462
EU Railways,adap_betweenness,,5,0.02482595263846903,0.01106252434382117,0.013236382858825967,0.03185919506521551,0.0442883176824946,0.06434179786080318,0.4550976942309473,0.0129641633484581
EU Railways,adap_betweenness,,6,0.024850545669889524,0.010466735005224416,0.015171284382179741,0.03548785261280557,0.0408180750554092,0.05888985729187439,0.4005556070006482,0.0120381516807111
EU Railways,adap_betweenness,,7,0.024082725161014593,0.010092471598886005,0.013038338336617898,0.028801572711924708,0.04417024417083103,0.058339432366004376,0.4630984350402815,0.0129641633484581
EU Railways,adap_betweenness,,8,0.02552714558313993,0.00899038137214725,0.018284184765986262,0.03054085143860484,0.046672170741080626,0.059684635980568,0.272543754051301,0.0129641633484581
EU Railways,adap_betweenness,,9,0.024091471636624392,0.01039352185938477,0.014204178556330067,0.02682788981690675,0.04422650623357032,0.05714024651577862,0.4042411334382813,0.0120381516807111
EU Railways,adap_betweenness,,10,0.025343606794951606,0.01019254156983338,0.016284820540368273,0.032151482869029246,0.043242127182957946,0.05963083452950219,0.3799425872765997,0.0129641633484581
EU Railways,adap_betweenness,,11,0.024171441863621423,0.010420773133392541,0.012226717731857017,0.032936505412830365,0.0421335308824891,0.05512180911812818,0.4654875451430688,0.0120381516807111
EU Railways,adap_betweenness,,12,0.023574194779089713,0.009461542008280487,0.013407254952917735,0.028116133542561875,0.045425126951194106,0.056328940909038984,0.4393369756458931,0.0129641633484581
EU Railways,adap_betweenness,,13,0.027005008412008598,0.009356978749862948,0.019002226185845676,0.03209668946501616,0.046730009067086305,0.054469751814080494,0.3739975923696638,0.0157421983516992
EU Railways,adap_betweenness,,14,0.025813103885723762,0.009443414508830357,0.018345249897485663,0.030248168564665983,0.04023680678051335,0.05680964478985116,0.3719788869339753,0.0138901750162052
EU Railways,adap_betweenness,,15,0.025744143928023783,0.009736352841949828,0.01527519446014363,0.03200809597484271,0.04548751821542734,0.05368435541120493,0.4391517733123437,0.0148161866839522
EU Railways,adap_betweenness,,16,0.02806991754242962,0.008741244016885436,0.021846833583735913,0.0337225965028894,0.04433146264619673,0.058498331775950006,0.3663302157607186,0.0175942216871932
EU Railways,adap_betweenness,,17,0.02493651838014817,0.010161808855533855,0.014501997656408179,0.028641262819229612,0.04646684457315063,0.06043203254750613,0.3833503102139087,0.0129641633484581
EU Railways,adap_betweenness,,18,0.026812362999214794,0.008799742503758015,0.020322023896128666,0.03355756863981024,0.04659452100284706,0.054902325367183216,0.2758959162885452,0.0148161866839522
EU Railways,adap_betweenness,,19,0.025347825683186914,0.008412256484291848,0.018494761087095017,0.025408067453477796,0.04679093354022381,0.05781530551687461,0.2432447448837855,0.0138901750162052
EU Railways,adap_betweenness,,20,0.025960010376064,0.00874923589459948,0.01814479363622008,0.03219482183860986,0.04098215153411992,0.06086083073535612,0.380775997777572,0.0148161866839522
EU Railways,adap_betweenness,,21,0.025863781994404058,0.009876828100224059,0.018062734319716837,0.034397545397731384,0.04488941249654955,0.05605471075364118,0.3768311880729697,0.0138901750162052
EU Railways,adap_betweenness,,22,0.023631955818018753,0.008585505301174511,0.014733193863162585,0.028116352994778406,0.03875573492497781,0.052574094037358375,0.457375682933605,0.0148161866839522
EU Railways,adap_betweenness,,23,0.023327269767658625,0.009676516658807534,0.013656109892505453,0.025520092365931092,0.03856478828119714,0.060413706940190055,0.4251504768960089,0.0120381516807111
EU Railways,adap_betweenness,,24,0.023977252955131756,0.009839372604671524,0.015935423952792908,0.031020866949224048,0.04127149378557901,0.058839856633493344,0.3874988424854153,0.0120381516807111
EU Railways,adap_betweenness,,25,0.029115738776078662,0.009412921893861313,0.02002991732452573,0.03659203010372374,0.04696582461184626,0.06243867952324533,0.3724789332345588,0.0185202333549402
EU Railways,adap_betweenness,,26,0.023351331150561653,0.010395168254793667,0.012038133706882146,0.027249429847240797,0.04402507910624059,0.0568138844709287,0.4692471525141217,0.0120381516807111
EU Railways,adap_betweenness,,27,0.026673259737114673,0.010889189777177571,0.016008031166054038,0.03281962153395017,0.04669634898407669,0.06280080539271202,0.4433003055838503,0.0148161866839522
EU Railways,adap_betweenness,,28,0.027025571204667722,0.010173985321578843,0.0185510781800272,0.029570860420879943,0.0496420752027912,0.06315941036704315,0.4070376886748773,0.0157421983516992
EU Railways,adap_betweenness,,29,0.02555297341111711,0.00952902707009329,0.015749181529266763,0.03293064417995201,0.043688137276085184,0.05694866047549638,0.4612278914714325,0.0148161866839522
EU Railways,adap_betweenness,,30,0.023581672158238476,0.010575637201542483,0.012347180085896626,0.032654794005635736,0.041132484349704804,0.056153180468218204,0.4508936012593759,0.0120381516807111
EU Railways,adap_betweenness,,31,0.023620636849582516,0.009633950477506526,0.015071517424960375,0.030877858149415856,0.041937549577145815,0.05846200285500214,0.3982590980646356,0.0120381516807111
EU Railways,adap_betweenness,,32,0.023757647817517154,0.01063125449644947,0.012539433893281314,0.027741520612542266,0.04639055417882634,0.055794428971343436,0.4369663857764608,0.0120381516807111
