node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness,regression_residual
24,ANC,61.17408472,-149.9981375,0,0.1868288934426229,87,0.0538997030640455,-0.4828576329108468
26,APF,26.1524408,-81.77563919,1,0.3311475409836065,32,0.0007853751431788,-0.2914526561620296
427,SJT,31.35774833,-100.49630416,2,0.3277151639344263,34,0.0004146693468738,-0.2796050640310936
157,FAI,64.81535555,-147.85666666,0,0.3428032786885245,24,0.0052145330645117,-0.25885463045905094
349,PAE,47.90731805,-122.28209388,3,0.254515368852459,55,0.0067926470383775,-0.25772472900385096
326,MVY,41.3934175,-70.61387444,1,0.3269948770491803,40,0.0008613770867154,-0.25522550480931083
447,SUX,42.40130555,-96.38441666,4,0.3478657786885246,26,0.0004504470781663,-0.2520920877778103
354,PGA,36.92606944,-111.44835055,3,0.4650399590163935,12,0.0044822917640129,-0.2489744267887608
3,ABI,32.41133333,-99.68188888,2,0.2520122950819672,56,0.0008113878179915,-0.2457703237446755
361,PIB,31.46714638,-89.3370575,2,0.4371290983606558,20,0.0001508661938223,-0.23980580035461735
136,DUJ,41.17827777,-78.89869444,1,0.5139241803278689,6,2.0843880714505695e-05,-0.2357559414954592
347,OWB,37.73883416,-87.16682855,4,0.3700778688524589,26,0.0006905352681861,-0.23180732574042623
132,DRO,37.15152777,-107.75377777,3,0.3437274590163934,33,0.0005731830883535,-0.2313076692025799
423,SHR,44.76919444,-106.98027777,3,0.4498360655737706,12,8.942478304500849e-05,-0.22891421128910366
355,PGD,26.9185925,-81.99088611,1,0.2518975409836065,60,0.0009789608786315,-0.2287919364547586
487,YKM,46.56816722,-120.5440625,3,0.4032715163934426,23,0.0002196922868736,-0.22016334379992109
7,ACK,41.25329916,-70.06051138,1,0.2806803278688524,57,0.0015635753480928,-0.2200734140932566
148,ENA,60.57327777,-151.24483333,0,0.3906629098360655,16,0.001023709792158,-0.21834274050078356
163,FLO,34.18536333,-79.72388305,1,0.4808954918032787,16,8.35058916712043e-05,-0.2180502454834496
44,BFF,41.87402777,-103.59563888,3,0.3478176229508197,35,0.000693268636576,-0.21793402028122627
