node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness,regression_residual
37864,ROU.10_1_31,44.4188111,26.02031479999999,104,0.0994549032317807,3,7.408161940514211e-05,-0.3531996107091971
2215,BEL_982,51.172162400000005,4.1440973,7,0.1156994073525326,3,0.002744151152875,-0.3493169120504204
24759,GBR.1.36_1_909,51.45041779999999,-0.3297535,66,0.1007628206315399,3,7.400645637551488e-05,-0.34871116218099407
1950,BEL_2277,51.106919,3.985272,7,0.1168598018335031,3,0.0027427128051505,-0.34815660622055417
2112,BEL_669,51.1803583,4.8270070999999986,7,0.1190361607556255,3,0.0014967375472487,-0.34605704172062685
9404,DEU.10_1_3553,51.71614840000001,8.7612292,44,0.1053068339661079,3,0.0001042202358302,-0.3460179735730424
42281,RUS.43_1_68,55.6122352,37.745179,124,0.1067357347902583,3,6.631384089347878e-05,-0.3440092089688904
34342,POL.12_1_153,50.1448235,18.7406945,95,0.1169004907861838,3,5.0831789211652446e-05,-0.343728912843926
1945,BEL_2255,51.0030496,3.9199918,7,0.1218909991665895,3,0.0002360685913898,-0.3432799033630389
1778,BEL_1699,50.7513962,4.258271699999999,7,0.1195145661635336,3,0.0476078857925206,-0.3427366224253732
34360,POL.12_1_195,49.974984,18.9534358,95,0.1181088804518936,3,0.0001270482684876,-0.3425158256527631
34469,POL.12_1_495,49.7469167,18.749206299999997,95,0.1189828780442633,3,0.0006783508415678,-0.34160784908506003
10188,DEU.12_1_112,49.408307699999995,6.9069834,23,0.1074382072414112,3,0.0001340105591982,-0.3415326366001661
34432,POL.12_1_40,50.13947159999999,18.6173311,95,0.1192792851189924,3,0.0015858347248069,-0.34125551016094424
23774,GBR.1.13_1_25,51.66809999999999,-0.561223,66,0.1084934438373923,3,0.0001948137031633,-0.3409730931429269
22584,FRA.7_1_636,49.83997880000002,3.2970360000000003,60,0.0979161959440688,3,0.0005086038550316,-0.34061153534195937
34514,POL.12_1_624,49.8701438,18.6233538,95,0.1209735623668858,3,0.0001907046014171,-0.339647220344208
8804,DEU.10_1_1832,50.89184089999999,7.6561801,22,0.0987141494582831,3,7.408161940514211e-05,-0.33907400080855826
1811,BEL_181,50.94822480000001,4.0245101,7,0.1261547180294471,3,9.314745828649658e-05,-0.33902499329936625
1908,BEL_2142,50.90677530000001,3.920589800000001,7,0.126263163255857,3,0.0002003489110729,-0.3389099408200651
