node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
1,ALB_0,41.10466309999999,20.074645500000003,2,0.0001481563784482,73,0.4882609500879711,0.6669506435781091,0.5015869987961848,0.5001105287526623,0.5104096675618113,-0.02563992343477195
2,ALB_1,41.0537239,19.954486999999997,2,0.0001851920428792,73,0.5622787295119919,0.6239651819612927,0.5252599314751366,0.5255714788406334,0.6378862857672006,-0.0001766906911601085
3,ALB_13,41.9526696,19.6323839,2,0.0013696088504421,73,0.5311176960829707,0.2683952217797944,0.5019288823039171,0.5039772756736736,0.3673897583109547,-0.021697893528620615
4,ALB_14,42.277108299999995,19.421682199999996,2,0.0014805758923498,73,0.4973606815445875,0.2575794055005093,0.4987265487545143,0.5059062227984072,0.3353175294008704,-0.01976210706272663
5,ALB_15,41.3176408,19.456527,1,0.0,73,0.7421946476525605,0.9487359940735254,0.4686270951013982,0.7233663950365774,0.8052110380590796,0.09136922334806974
6,ALB_19,40.6181298,19.475384199999997,2,7.408093336893888e-05,73,0.4214812482637281,0.7782757662746551,0.4981551995555144,0.4583267432169645,0.6604280025928326,-0.0674282745354498
7,ALB_20,41.2848357,19.514355599999995,2,0.0008145884111289,73,0.5882652097416428,0.3436058894342069,0.5413438281322345,0.4576736179275859,0.450335401426058,-0.06803575939695872
8,ALB_21,41.256333700000006,19.5268202,2,0.0007775760719287,73,0.476693397536809,0.3514029076766367,0.500357996110751,0.5354306602463191,0.4916758959162886,0.009719001703760721
9,ALB_22,41.3709832,19.5593361,3,0.0009626240472053,73,0.5316295953329012,0.3173812390036114,0.547462357625706,0.514590786183906,0.33842578016483,0.09512812091860107
10,ALB_23,40.831126100000006,19.56334979999999,2,0.0002222263352379,73,0.6894332808593387,0.5880729697194185,0.4636177423835541,0.6664110750995462,0.6445198629502732,0.1406651881388271
11,ALB_24,40.8853625,19.5944881,2,0.0002592592555241,73,0.4724155940364849,0.5561070469487915,0.5362192795629225,0.4524074080933419,0.6162566904342994,-0.07333619638086919
12,ALB_25,41.4008267,19.6484188,3,0.0009996295260434,73,0.3223783683674414,0.3119177701639041,0.4469180479674044,0.5039394943976294,0.3613790165756088,0.08447910992750679
13,ALB_27,40.996868199999994,19.6674049,2,0.0003333209798794,73,0.6830154643948514,0.5048245207889619,0.4886176497823872,0.6651973053060469,0.7381246411704788,0.13945826555115326
14,ALB_28,41.079077600000005,19.6683491,3,0.0006665857047901,73,0.0799422168719325,0.3783683674414297,0.453420872302991,0.1236318825817205,0.2364091119548106,-0.2958490287067772
15,ALB_29,41.4521983,19.6715666,3,0.0010736363675024,73,0.2070250949161959,0.3018242429854616,0.5333869802759514,0.5202791647374755,0.3644635614408741,0.10082334160401857
16,ALB_3,41.05883119999999,19.8440646,2,0.0002222263352379,73,0.4084428187795166,0.5880914899527734,0.5483796647837762,0.4236271043615149,0.6574677284933791,-0.1021187825992042
17,ALB_30,41.580837300000006,19.6882755,2,0.0011476377206718,73,0.4384483748495231,0.2922307621076025,0.5499864802296509,0.5247379942587276,0.4149626817297898,-0.0009508559091769841
18,ALB_31,41.6171453,19.7010609,2,0.0011846363391479,73,0.5243704046670988,0.2881933512362256,0.4908880451893694,0.5000219557366423,0.4043891101027873,-0.025664614058911295
19,ALB_32,41.6773248,19.7076407,2,0.0012586294598828,73,0.4810336142235392,0.2802852115936661,0.4938401703861469,0.5043481896471896,0.43207722937309,-0.021333819657361364
20,ALB_35,40.60432310000001,19.7390326,1,0.0,73,0.774755440318548,0.9487545143068804,0.518920270395407,0.7622580887119178,0.8021057505324567,0.13026091702341014
21,ALB_36,41.358472299999995,19.740979300000003,2,0.0,73,0.6940938975831096,0.9487730345402352,0.5070050930641726,0.6467053060468563,0.8164543013241966,0.1209457223911965
22,ALB_37,41.0478298,19.7490141,2,0.0002592592555241,73,0.694303731827021,0.5561255671821465,0.5839940735253264,0.6801749699046208,0.7424205944994907,0.1544313654304097
23,ALB_38,40.6785038,19.4931306,2,0.0001111193419447,73,0.6959131401055654,0.7170478748032225,0.5144889341605705,0.665068015556996,0.635771089915733,0.13931528062935494
