network,category,protocol,AUC_S1,p_LCC_0.5,p_LCC_0.25,p_LCC_0.1
eu_powergrid,power_grid,seamless,0.021929401469980358,0.021160456039626137,0.026120400067879235,0.03347657570604893
eu_powergrid,power_grid,adap_betweenness,0.0103981250170464,0.006881094015224,0.0133615748494013,0.01849404312016
us_powergrid,power_grid,seamless,0.03575160294297578,0.03568842126942158,0.045273986233264875,0.05232748935974675
us_powergrid,power_grid,adap_betweenness,0.0141441682889982,0.0104920392591379,0.0158820019845734,0.0267922287553333
eu_railways,transportation,seamless,0.0317148738293881,0.03240689693439745,0.039101185404364316,0.04634159166150475
eu_railways,transportation,adap_betweenness,0.0251666551318945,0.0157924241213544,0.0308078791554069,0.0437587782324461
us_airlines,transportation,seamless,0.3382744305966138,0.3927951432792808,0.4674949379285634,0.4938251078508012
us_airlines,transportation,adap_betweenness,0.2950597117710292,0.3409987856709168,0.4180327868852459,0.4544028103044496
