network,N,E,assortativity_r,modularity_Q,n_communities
eu_powergrid,130880,149283,-0.05795630714659755,0.9845148792110476,195
eu_railways,53995,62186,0.44753914729153776,0.9810099932347314,154
us_airlines,488,12971,-0.09801077754103879,0.20667932481418771,5
us_powergrid,71856,87692,0.06396157964210392,0.9738322427808352,117
