network,spearman_degree,spearman_betweenness,spearman_adap_degree_frac,spearman_betweenness_frac,spearman_adap_betweenness_frac
eu_powergrid,-0.7939628216892327,-0.5591308415580554,0.9634781395679656,0.5527252893321472,0.7648587676073393
eu_railways,-0.4180101208175173,-0.19815514331982084,0.7947601985311318,0.1981323068741321,0.4561606480170351
us_airlines,-0.883525286512503,-0.9221766263747231,0.9812755573208201,0.9220919611394808,0.8852114354726329
us_powergrid,-0.8048001599865758,-0.6275552147649448,0.9640467573025139,0.6196669498626561,0.7928424506768313
