trigger_node,trigger_type,cascade_size,cascade_fraction
36,seamless,24,0.17777777777777778
44,seamless,11,0.08148148148148149
104,seamless,1,0.007407407407407408
4,seamless,7,0.05185185185185185
1,seamless,1,0.007407407407407408
67,classical,1,0.007407407407407408
44,classical,11,0.08148148148148149
81,classical,8,0.05925925925925926
4,classical,7,0.05185185185185185
8,classical,1,0.007407407407407408
