node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness,regression_residual
118397,UKR.14_1_582,49.093204,23.8217715,80,0.3777198082212712,2,0.2241418581813073,-0.6228152255193569
55115,HUN_204,47.224442100000005,19.58054430922547,80,0.170327425886308,4,0.2215052107957412,-0.6107342664862133
55555,HUN_617,47.61580615,21.511573661533404,80,0.0884909573655256,5,0.2219518253138138,-0.5865346428815594
119862,UKR.16_1_579,47.114948,31.8740044,190,0.301838306081907,2,0.167234173225458,-0.5744857807368199
118377,UKR.14_1_564,48.4692595,22.541762999999996,80,0.4591553445904645,2,0.2241364634453128,-0.5413683779075219
116267,UKR.10_1_12,49.16491315,28.72234643890405,179,0.056403442084352,6,0.2408241279613507,-0.5371455931557025
118376,UKR.14_1_563,49.065742199999995,23.7445343,80,0.4658796951405867,2,0.2241379242891515,-0.5346470903356692
44483,FRA.6_1_1,47.9076888,7.556024813834241,34,0.0963807571821515,4,0.14896914844531,-0.5280597039043498
1189,AUT_538,47.27509899999999,12.458102399999998,0,0.2044808259474327,3,0.1469105276364245,-0.5202564714983611
55465,HUN_53,46.5072249,16.588828499999998,171,0.3684510773227383,3,0.2074673278799171,-0.49838534898219067
129382,UKR.7_1_291,49.086248,23.779456399999997,80,0.5041919964853301,2,0.2241396225810537,-0.4963383498309375
1232,AUT_577,47.1361126,10.6844673,25,0.1499372784229828,4,0.1537604698847008,-0.4788133833039946
54924,HUN_1198,48.44180479999999,22.4932312,80,0.5244199533924204,2,0.224135301412082,-0.4761013326490192
45069,FRA.6_1_59,48.860755700000006,6.115365199999999,63,0.2650581983496332,3,0.1490823617214954,-0.47216449185876697
8964,BUFFER_0713_2,56.767017675643906,15.856553184858882,175,0.1475702322738386,3,0.0828484722632346,-0.4487820405200662
37868,FRA.10_1_819,45.135714099999994,-0.2448964,54,0.1557157663508557,3,0.0850837537022185,-0.4459992651020661
55564,HUN_641,48.1461595,22.16696542158387,80,0.348593711797066,4,0.2242321679574296,-0.4381856420441358
21886,DEU.1_1_490,48.0637739,7.731804200000001,34,0.399828499388753,2,0.1460646336365027,-0.43246704590523943
44547,FRA.6_1_1193,48.4456121,3.4900067999999997,65,0.3047433794315403,2,0.0980941531220982,-0.4303808498682732
10166,BUFFER_0987_2,45.40868385,36.60257045850228,186,0.317969441473105,3,0.1524558957201336,-0.4153717879834381
