network,top_frac,n_top,jaccard_seamless_vs_degree,jaccard_seamless_vs_betweenness
eu_powergrid,0.05,6544,0.7124165903441058,0.16513843140746015
eu_railways,0.05,2700,0.3369645951968309,0.06994254012284526
us_airlines,0.05,24,0.7777777777777778,0.7142857142857143
us_powergrid,0.05,3593,0.666898631408026,0.2978147011016796
