node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness
2538,BGR_496,42.7159257,23.1674214,8,0.3041877025650523,2,3.7041152720672656e-05
25782,GBR.1.98_1_199,51.3293766,-0.2132483,66,0.3054240948235948,2,3.704115272067267e-05
21018,FRA.13_1_89,43.27132580000001,5.392649100000001,56,0.3062560700064821,2,3.704115272067267e-05
12121,DEU.1_1_1787,48.7843271,9.161211799999998,31,0.3064496527456247,2,3.704115272067267e-05
20880,FRA.13_1_321,43.303309000000006,5.4187943,56,0.3068653486433929,2,3.704115272067267e-05
4057,CHE_1061,46.6041518,7.0987035,13,0.3086288915640337,2,3.704115272067267e-05
21728,FRA.3_1_300,48.6144318,-1.9059258,55,0.3088680896379294,2,3.704115272067267e-05
42146,RUS.43_1_234,55.70852510000001,37.8998529,124,0.3091226409852763,2,3.704115272067267e-05
12937,DEU.1_1_459,47.9582095,8.771165500000002,32,0.3094957033058617,2,3.704115272067267e-05
25937,GBR.3_1_295,55.920609299999995,-4.3191885,70,0.3098044911565886,2,3.704115272067267e-05
53307,UKR.8_1_307,50.037997,36.2620157,141,0.3103266320955644,2,3.704115272067267e-05
23772,GBR.1.13_1_23,51.8625389,-0.9228506,63,0.3109152051115844,2,3.7041152720672656e-05
16230,DEU.9_1_1162,52.25215949999999,9.9666728,43,0.3110905083804057,2,5.046781319180132e-05
16275,DEU.9_1_1322,52.38390559999999,9.7463828,43,0.3111324474488379,2,3.704115272067266e-05
42706,RUS.44_1_373,55.84611159999999,37.3615145,124,0.3115919344383739,2,3.704115272067267e-05
506,AUT_1982,48.0094661,13.591102900000005,3,0.3117425224557829,2,3.704115272067267e-05
24660,GBR.1.36_1_629,51.6088927,-0.0001301,66,0.3119413001203815,2,3.704115272067266e-05
50992,UKR.21_1_141,52.11777479999998,33.8625991,140,0.3120904342994722,2,3.704115272067267e-05
27616,HUN_1634,46.321463699999995,20.966544000000003,128,0.3121402629873137,2,3.704115272067266e-05
19198,ESP.6_1_830,41.73221559999999,1.833017,53,0.3124182146495045,2,3.704115272067267e-05
23032,FRA.8_1_2217,48.867518,2.3465656,61,0.3127120381516807,2,3.4301810161199286e-10
9699,DEU.11_1_1028,49.105629400000005,8.030922,32,0.3127170478748031,2,3.704115272067267e-05
33919,NOR.7_1_39,60.358227000000014,5.3415629,92,0.3134549310121307,2,3.704115272067267e-05
26754,GRC_899,38.065597700000005,23.803992099999995,72,0.3137942772478933,2,3.704115272067267e-05
43110,RUS.47_1_396,56.325732300000006,43.91203550000001,125,0.3138261135290304,2,3.704115272067267e-05
4432,CHE_207,46.46086900000001,6.911919899999998,11,0.3139405593110472,2,3.704115272067267e-05
9350,DEU.10_1_3409,52.2431146,8.9200253,43,0.3141374571719604,2,3.704115272067267e-05
14470,DEU.2_1_989,48.1334299,11.6905408,1,0.3142459764793036,2,3.704115272067267e-05
48087,SWE.13_1_13,56.0551486,12.873669,134,0.3148337994258728,2,3.127991869116949e-06
39353,ROU.38_1_72,45.5728104,21.2823442,102,0.3150163626261691,2,3.704115272067266e-05
45403,RUS.77_1_397,48.7920592,44.598626,121,0.3158011852949347,2,3.704115272067267e-05
14216,DEU.2_1_4004,49.4007731,10.2272252,34,0.3158295860727845,2,3.704115272067267e-05
5780,CZE_1050,50.2629579,17.353899499999997,20,0.3158973238262802,2,3.704115272067267e-05
13506,DEU.2_1_2107,48.11481190000001,11.4769673,1,0.315943781831651,2,3.704115272067267e-05
16095,DEU.8_1_571,54.4291119,13.5752844,41,0.3159593666080192,2,3.704115272067267e-05
16084,DEU.8_1_559,54.51796929999999,13.607837100000005,41,0.316151736271877,2,3.704115272067267e-05
51018,UKR.21_1_24,50.97454490000001,34.394461500000006,152,0.3162284563385499,2,3.704115272067267e-05
