node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness
57549,ITA.13_1_227,45.133993999999994,7.7026232,82,0.2886775901589241,2,1.5281290352157337e-05
42287,FRA.1_1_517,45.06483709999999,5.699085299999999,59,0.2889442810207823,2,1.5281290352157334e-05
62918,LVA_145,55.8291957,26.462206999999996,8,0.2905764746332517,2,1.5281290352157334e-05
37635,FRA.10_1_594,44.81717615000001,-0.5987122993347206,54,0.2906029951100244,2,1.528129035215734e-05
75642,POL.6_1_293,50.0795695,20.9254023,114,0.2906169697432762,2,1.5281290352157337e-05
36904,FRA.10_1_142,45.0294288,-0.5901041,54,0.2908054821210268,2,1.5281290352157337e-05
6360,BUFFER_0375_13,53.3823559,-6.209468705072693,81,0.290967561888753,2,1.5281290352157334e-05
107001,RUS.76_1_306,55.96795459999999,39.45964392197288,138,0.291348907396088,2,1.5281290352157337e-05
6325,BUFFER_0366_83,34.31276855000001,-6.3664236748843654,10,0.2917611934596577,2,1.528129035215734e-05
27769,DNK_906,57.09941975,10.020166990203212,14,0.2918755577628361,2,1.5281290352157337e-05
25350,DEU.8_1_209,54.3168155,12.753222325070992,37,0.2921351696210268,2,1.5281290352157337e-05
50195,GBR.1.49_1_87,53.84669395168498,-1.5081792737357056,69,0.2922329080073349,2,5.837990476687195e-11
111374,RUS.81_1_279,57.6175853,39.987073599999995,169,0.2922794430012224,2,1.5281290352157334e-05
11940,BUFFER_1329_337,56.8881184,59.8686375,24,0.2922825985635696,2,1.5281290352157334e-05
59119,ITA.19_1_55,45.79251785,7.824628615455023,82,0.2924494269559902,2,1.5281290352157337e-05
13895,CHE_932,47.0164612,7.724447433790904,25,0.2925488539119804,2,1.5281290352157337e-05
10235,BUFFER_1047_18,52.94062619999999,40.4744645,156,0.2928586262224939,2,1.5281290352157334e-05
64665,MDA_1139,48.1695093,27.620919099999995,100,0.2929720163508557,2,1.5281290352157337e-05
39811,FRA.12_1_786,47.72468438707726,-1.34275462,66,0.2931149870110024,2,1.528129035215734e-05
81657,RUS.19_1_776,56.7287152,41.3729161,117,0.2932586606051345,2,1.5281290352157334e-05
32558,ESP.5_1_195,41.00334164999999,-5.645832349999998,41,0.2936251566320293,2,1.528129035215734e-05
94909,RUS.53_1_177,51.5786264,54.1582543,147,0.2936585345354522,2,1.5281290352157337e-05
3121,BGR_693,42.231597699999995,26.0822684,5,0.2937284115220048,2,1.5281290352157337e-05
106360,RUS.74_1_494,58.120681999999995,52.60266907187076,143,0.2937287897310512,2,1.5281290352157334e-05
27783,DNK_930,56.35543830000001,10.5939996,14,0.2938107121026895,2,1.5281290352157337e-05
129597,UKR.8_1_235,49.60833389999999,37.679471898749135,191,0.2938160375916869,2,1.5281290352157334e-05
109528,RUS.79_1_355,51.02138980000001,39.475041399999995,165,0.293912645171149,2,1.5281290352157334e-05
105106,RUS.70_1_606,54.0796909,38.1467839,160,0.2940083282396087,2,1.5281290352157337e-05
15165,CZE_2700,49.619804499999994,13.3961538,26,0.2941687194376527,2,1.5281290352157337e-05
125005,UKR.2_1_59,51.455353499999994,31.23361839999999,185,0.2941873242665035,2,1.5281290352157337e-05
80222,RUS.10_1_40,43.252147,45.6104936,119,0.2942071630501223,2,1.5281290352157337e-05
45633,FRA.7_1_287,50.742105550000005,3.146623604714283,64,0.2942612278422981,2,1.5281290352157334e-05
51630,GBR.3_1_342,57.672473549999985,-2.8132505168465154,73,0.2943018719437653,2,1.5281290352157337e-05
31232,ESP.2_1_376,42.755229400000005,-0.5136325891806746,46,0.2943059061735941,2,1.5281290352157337e-05
65114,MDA_2159,46.6539262,28.513880599999997,99,0.2943203965464548,2,1.5281290352157334e-05
71989,POL.11_1_227,54.35453070635573,18.589727485636384,110,0.2943964585880195,2,1.5281290352157337e-05
39805,FRA.12_1_710,47.4853524,-1.2473291,66,0.2943976772616136,2,1.5281290352157337e-05
9902,BUFFER_0873_94,40.77745145,29.53207262576231,19,0.2944388867665036,2,1.5281290352157337e-05
96069,RUS.55.3_1_14,59.4365372,56.764045499999995,155,0.2944844857885085,2,1.5281290352157334e-05
37296,FRA.10_1_287,44.8776936,-0.7143835999999999,54,0.2945439601161368,2,1.5281290352157337e-05
67519,NLD_1037,51.814314550000006,4.684483499999992,103,0.2945453354217603,2,1.5281290352157334e-05
103548,RUS.68_1_170,55.8303951,52.004344399999994,158,0.2946004622555012,2,1.5281290352157334e-05
126260,UKR.5_1_1156,48.11309584999999,33.565017444200755,190,0.2946182877444988,2,1.5281290352157337e-05
40002,FRA.13_1_224,43.63826639999999,5.1338773,57,0.2946194949572128,2,3.2959471520319425e-06
