node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness,regression_residual
5599,5678,41.3527523,-88.3471406,39,0.2165842866288131,3,0.1271076125877071,-0.5970591591647972
13357,13692,36.8791622,-80.8231703,13,0.0715576152304609,6,0.1784827833211479,-0.5804841152386605
5344,5419,38.9243256,-92.5749155,2,0.34490165748163,3,0.1504000505153845,-0.5369795594585636
22841,23330,39.2273497,-87.5701283,80,0.096813669004676,5,0.1269916381926555,-0.5082720569978765
4626,4688,41.0810502,-101.1472487,14,0.0600460156423959,6,0.1487941576213751,-0.5049029718063346
11146,11460,39.0603755,-89.4030831,81,0.1972048680694723,4,0.1220569564359722,-0.4975342199635125
1372,1389,37.9297149,-87.0294724,13,0.0647368278223113,5,0.1105231396137928,-0.49188774728298923
16560,16939,40.6577028,-79.3385167,42,0.1025638499220663,6,0.143542648696504,-0.4472374028368104
23662,24163,39.3802967,-80.3318176,16,0.2541197186038745,5,0.1582183360325719,-0.4425245803812551
20568,21019,40.3604893,-95.6453878,2,0.0588841989534624,7,0.1568944121755928,-0.4258425047940906
17656,18058,38.569018,-82.774191,13,0.3292622049654864,5,0.1759123153173732,-0.41928893294384284
30473,31196,38.8262881,-90.6804942,68,0.0618707832331329,6,0.1114886507131534,-0.39374967102558606
15800,16173,41.1579034,-101.6564172,14,0.1821547539523492,4,0.0814074425106834,-0.3931128032096017
15464,15831,39.8440431,-94.7946592,2,0.0612807559563571,7,0.1433866405329759,-0.38379871023828027
16377,16754,41.7265191,-90.3062704,39,0.059366155922957,6,0.1049979302758799,-0.37721992323063946
24584,25115,38.1813688,-82.6098914,13,0.0435302549543531,8,0.1675755129902823,-0.3683888846873321
6195,6286,35.1180051,-90.1875647,40,0.0759973071142284,5,0.072013704844562,-0.36758121028432145
24164,24675,41.6835236,-88.4791697,39,0.5545093589957693,2,0.126011228013879,-0.3599701394809639
3440,3490,38.9759318,-81.9425219,16,0.2705638290469828,5,0.1346338493473483,-0.35685663562172026
11139,11453,39.4116448,-89.1047063,81,0.0556836102761077,7,0.1262030447781685,-0.3390625451180047
