original_id,lat,lon,seamless_mavg_global,seamless_mavg_local,rank_global,rank_local,adap_betweenness_frac_global,adap_betweenness_frac_local,rank_disagreement
FRA.4_1_2,48.6137864,2.1219132,0.6626213286980439,0.646986313868613,364.0,361.0,0.671049434596577,0.6442883211678831,False
FRA.4_1_23,48.5497316,2.3124135,0.5767249274144254,0.7071541970802918,275.0,482.0,0.6646655715158923,0.654543795620438,False
FRA.4_1_30,48.665060851253834,2.208354830377909,0.3267328889058679,0.6315684306569341,116.0,325.0,0.2467149297066014,0.6547992700729927,False
FRA.6_1_239,48.77615440000001,2.6532226,0.5816381647310513,0.7049361313868613,289.0,461.0,0.7409506418092908,0.6661678832116789,False
FRA.7_1_0,49.06874009999999,2.5267955,0.3033594590464546,0.5546286496350363,104.0,260.0,0.339596194987775,0.6092700729927008,False
FRA.7_1_2,49.11289579999999,2.3788724,0.5796187576405867,0.3741487226277372,284.0,147.0,0.324882640586797,0.4027189781021897,False
FRA.7_1_28,48.9666892,2.6309350027300127,0.052865376680929,0.0946158759124087,26.0,32.0,0.1232794162591686,0.0748175182481751,False
FRA.7_1_3,49.183061300000006,2.3772779021766004,0.32838164349022,0.6670036496350366,118.0,389.0,0.5506628209046455,0.6498175182481752,False
FRA.7_1_329,49.148385399999995,2.2608694,0.5544239264975551,0.7153138686131386,244.0,538.0,0.2056512072127139,0.6524452554744525,False
FRA.7_1_428,48.904402800001115,2.6635363768853044,0.0112227880501222,0.0142080291970802,3.0,3.0,0.0321967451100244,0.0182481751824817,False
FRA.7_1_44,49.15067299999999,2.2544272,0.3072371179706601,0.5623868613138686,109.0,279.0,0.4647873624694376,0.6703284671532846,False
FRA.7_1_5,49.0371212,2.4405479,0.5775882182151588,0.7062572992700729,277.0,471.0,0.6657982885085574,0.6393795620437956,False
FRA.7_1_538,49.1637049,2.2727086,0.5767031097188264,0.5640912408759124,274.0,282.0,0.5548587255501223,0.6704014598540146,False
FRA.7_1_593,49.150952800000006,2.2619111,0.571989532396088,0.5407372262773722,267.0,238.0,0.5610654034229828,0.6687226277372262,False
FRA.7_1_985,49.19498542580427,2.2067220074910288,0.3872648838630805,0.5563284671532845,157.0,266.0,0.5463871485330073,0.6498722627737226,False
FRA.7_1_986,49.1516913,2.2604961999999995,0.5168126375305624,0.5548877737226275,220.0,261.0,0.3608439028117359,0.6394160583941605,False
FRA.8_1_0,48.74410069999999,2.2215255,0.4405704653117359,0.4253211678832116,189.0,183.0,0.1412791870415647,0.0602189781021897,False
FRA.8_1_1,48.7489011,2.2212896999999994,0.233484298594132,0.2359963503649634,91.0,88.0,0.5267130959657702,0.2569343065693431,False
FRA.8_1_10,48.7753512,2.6527847999999996,0.7287312308985329,0.5563129562043795,543.0,265.0,0.7088260238386307,0.6767883211678832,False
FRA.8_1_1009,48.83266195,2.7338021021177643,0.5315401245415647,0.5136541970802919,225.0,219.0,0.748692466381418,0.6684854014598539,False
FRA.8_1_101,49.12968180000001,2.264331283338904,0.3871162859107579,0.3731906934306569,155.0,146.0,0.5283051650366748,0.6402554744525547,False
FRA.8_1_1010,48.9249167,2.3384806,0.7167414234413203,0.7107582116788319,456.0,514.0,0.7156360024449877,0.6405474452554744,False
FRA.8_1_102,49.0432578,2.4353711,0.6622863997555013,0.6431459854014598,363.0,352.0,0.7197521393643032,0.6339051094890511,False
FRA.8_1_103,49.02570789999999,2.4243383,0.7232789769254278,0.7075036496350365,507.0,485.0,0.7307052261613691,0.6356021897810219,False
FRA.8_1_104,49.0263374,2.4224543,0.5940861781784841,0.5749762773722628,306.0,295.0,0.7167342603911979,0.6646167883211678,False
FRA.8_1_1047,48.7495806,2.1698723,0.6897128629278729,0.6782591240875913,401.0,407.0,0.7290250611246943,0.6487591240875912,False
FRA.8_1_105,49.0258836,2.4238419999999996,0.7124210994804401,0.7015967153284671,437.0,448.0,0.7309213019559901,0.6350912408759123,False
FRA.8_1_106,48.98358405000001,2.5216343175716847,0.399261483801956,0.3994881386861314,170.0,173.0,0.480181998777506,0.4575547445255474,False
FRA.8_1_107,48.94647257928791,2.3059632086768844,0.644427723869193,0.6165693430656934,325.0,319.0,0.472135085574572,0.6438868613138686,False
FRA.8_1_108,49.011050265993134,2.407186014503754,0.1619993505501222,0.1848184306569343,64.0,67.0,0.2702225702933985,0.1080656934306569,False
FRA.8_1_109,48.9773654,2.3553128301146433,0.2747557151589241,0.2661268248175182,96.0,93.0,0.2629841839853301,0.1437408759124087,False
FRA.8_1_11,48.77872202551339,2.649915797683823,0.0157483496332518,0.0208686131386861,5.0,5.0,0.0327105745721271,0.0091240875912408,False
FRA.8_1_110,48.90588974999999,2.6438186499999996,0.576814543856968,0.5481788321167883,276.0,248.0,0.7256302720048899,0.6291788321167884,False
FRA.8_1_114,48.6324375,2.4069917,0.4883525252139363,0.4830282846715327,205.0,203.0,0.4356829156479217,0.4122262773722627,False
FRA.8_1_115,48.6469036,2.3943554500000026,0.4981836797066014,0.474220802919708,209.0,195.0,0.4260841992665036,0.4153649635036496,False
FRA.8_1_116,48.61606308513502,2.429068016826522,0.4040934138141809,0.3961833941605839,175.0,172.0,0.5398164731051344,0.4377919708029197,False
FRA.8_1_119,48.5621201,2.6532403,0.5428582671149144,0.4749361313868613,234.0,196.0,0.3389227536674816,0.4413321167883211,False
FRA.8_1_12,48.7825274,2.6470858999999995,0.5701940518031785,0.5570228102189781,262.0,267.0,0.70223418398533,0.6611313868613139,False
FRA.8_1_120,48.5648685,2.6473740999999995,0.3864597914119804,0.3498795620437956,154.0,132.0,0.3286350855745721,0.1040145985401459,False
FRA.8_1_121,48.7286045,2.6789747303437657,0.1992896508251833,0.1181368613138685,79.0,42.0,0.1750607426650366,0.0784671532846715,False
FRA.8_1_122,48.7283274,2.7250623,0.6012778881418093,0.6232928832116789,309.0,322.0,0.4617390739608801,0.6196350364963503,False
FRA.8_1_13,48.8965807,2.6636979,0.5804385200183371,0.5553658759124087,288.0,264.0,0.7594910605134474,0.6341423357664233,False
FRA.8_1_135,48.60704795,2.263226532823129,0.198627464089242,0.2065145985401459,77.0,75.0,0.2497865220048899,0.0875912408759124,False
FRA.8_1_136,48.6273354,2.3498179275220794,0.7131830187958436,0.7000784671532846,439.0,444.0,0.7376218673594132,0.6587773722627737,False
FRA.8_1_137,48.90915880000001,2.205781947057431,0.0346099136613691,0.0476925182481751,19.0,17.0,0.0584902200488997,0.010948905109489,False
FRA.8_1_138,48.89371840266691,2.1720365263782435,0.6677288852383862,0.6436313868613139,370.0,354.0,0.7326900977995109,0.6245255474452555,False
FRA.8_1_14,48.66172835,2.1894125875547426,0.6551266847493886,0.6400848540145986,337.0,343.0,0.7096150672371637,0.6468978102189781,False
FRA.8_1_141,48.743832299999994,2.2170703,0.6225778537591686,0.5948175182481752,318.0,310.0,0.6232050733496332,0.6788686131386861,False
FRA.8_1_142,48.74564195000001,2.178229008173315,0.175711407396088,0.1926122262773722,70.0,70.0,0.2829740984107579,0.1148722627737226,False
FRA.8_1_143,48.782358899999984,2.6464333999999994,0.6079671569376526,0.581587591240876,312.0,303.0,0.7284160299511001,0.6371897810218978,False
FRA.8_1_144,48.8997512,2.6632726,0.7141111819987773,0.7069817518248175,441.0,479.0,0.7047585574572127,0.6381386861313868,False
FRA.8_1_145,48.9017589,2.6598936999999996,0.6620017114914425,0.6482344890510948,361.0,365.0,0.7344248166259169,0.6781751824817518,False
FRA.8_1_146,48.90035569999999,2.6587791,0.6600241251528118,0.650787408759124,359.0,371.0,0.7344244345965769,0.6565328467153284,False
FRA.8_1_147,48.8999834,2.659854,0.6518491060513448,0.6349434306569344,331.0,330.0,0.7464441473105133,0.626405109489051,False
FRA.8_1_148,48.88013049999999,2.6650121,0.3986397692542787,0.3833421532846716,168.0,158.0,0.4749886919315402,0.415492700729927,False
FRA.8_1_149,48.874402700000005,2.6553401451294145,0.4037504546149144,0.3919872262773722,174.0,166.0,0.5076039119804401,0.4637408759124087,False
FRA.8_1_15,48.6708144,2.2306739,0.6577363539119805,0.6505200729927008,346.0,370.0,0.7389267267726161,0.6499817518248175,False
FRA.8_1_16,48.69080263506401,2.2295759497979795,0.7156489112163813,0.705065693430657,444.0,464.0,0.6825564639364303,0.6328102189781021,False
FRA.8_1_163,48.574536050000006,2.6803776999999993,0.3948583167787285,0.3795702554744525,166.0,151.0,0.5289472035452323,0.4737043795620437,False
FRA.8_1_167,49.0264651,2.422138,0.5834636651894864,0.5812189781021899,296.0,302.0,0.7199665342298288,0.656478102189781,False
FRA.8_1_169,48.964847799999994,2.6250948999999997,0.7200384703545232,0.6922554744525548,477.0,426.0,0.7072351008557456,0.622463503649635,False
FRA.8_1_17,48.705173633604225,2.253186771183751,0.1502613615525672,0.161353102189781,56.0,51.0,0.3359339089242053,0.1386313868613138,False
FRA.8_1_170,48.953521,2.667714463874114,0.1691333588019559,0.1856113138686131,68.0,68.0,0.2535486705378972,0.1561313868613138,False
FRA.8_1_171,48.9882249,2.5480692,0.1633728644559902,0.1847436131386861,65.0,66.0,0.3664273380195599,0.1795620437956204,False
FRA.8_1_172,48.9159226,2.6909431,0.3097802834657702,0.2990328467153285,111.0,105.0,0.6467890433985329,0.6497810218978102,False
FRA.8_1_173,48.9167113,2.6922595,0.3441917596271393,0.3446459854014598,128.0,130.0,0.2637496179706601,0.1393978102189781,False
FRA.8_1_174,48.9165101,2.691294,0.3048778384779951,0.2989206204379561,106.0,104.0,0.6273542940097799,0.6374452554744525,False
FRA.8_1_175,48.9203807,2.6930788,0.4807046340158923,0.4817545620437957,200.0,202.0,0.2090443154034229,0.1741970802919707,False
FRA.8_1_18,48.77717614818205,2.6010050658282324,0.6996221768031786,0.6828293795620437,419.0,414.0,0.4004203086797065,0.6317153284671533,False
FRA.8_1_180,49.13177279999999,2.2611618999999994,0.5110202169926652,0.4974580291970802,216.0,210.0,0.4262748319070904,0.1747992700729927,False
FRA.8_1_181,49.13838069999999,2.264643599999999,0.3941634321515891,0.3811651459854014,165.0,154.0,0.5262119498777506,0.6442883211678831,False
FRA.8_1_182,48.550396,2.3079185,0.576356230898533,0.5614041970802919,273.0,274.0,0.7100813722493886,0.6711313868613138,False
