trigger_node,trigger_type,cascade_size,cascade_fraction
83,seamless,161,0.2937956204379562
546,seamless,141,0.2572992700729927
10,seamless,184,0.3357664233576642
331,seamless,142,0.2591240875912409
32,seamless,146,0.2664233576642336
546,classical,141,0.2572992700729927
83,classical,161,0.2937956204379562
505,classical,165,0.3010948905109489
10,classical,184,0.3357664233576642
445,classical,155,0.28284671532846717
