node,original_id,lat,lon,community_id,seamless_mavg,degree,betweenness
47230,48515,35.2264751,-119.6309643,101,0.3117906298708527,2,2.7833832022823745e-05
16908,17295,36.0735872,-87.949172,46,0.3118764542974838,2,2.7833832022823745e-05
24104,24612,37.6563833,-89.5110072,68,0.311986062402583,2,2.7833832022823745e-05
14080,14424,31.55768,-84.055228,74,0.3123601369405478,2,2.783383202282373e-05
25117,25655,41.2362338,-77.0068272,9,0.3130598279893121,2,2.7833832022823745e-05
56813,58569,35.0974419,-89.8307859,40,0.3131968589957693,2,3.8736649348433967e-10
6268,6361,39.0393389,-94.571498,2,0.3137211019260744,2,2.7833832022823745e-05
36007,36855,28.8431554,-81.3254635,3,0.3137242401469605,2,1.9368324674216984e-10
70189,72641,32.6320353,-96.9461021,107,0.3144331927744377,2,2.7833832022823745e-05
57535,59303,40.9012298,-76.8165197,9,0.3144718255956357,2,1.9368324674216984e-10
105,105,41.7160861,-71.1567698,53,0.3144822144288577,2,2.7833832022823745e-05
24204,24715,25.7133111,-80.3654027,6,0.3148830925740369,2,1.5107293245889246e-08
1097,1112,44.4793148,-73.0955783,19,0.3151831997327989,2,2.7833832022823745e-05
69411,71630,47.4560638,-122.243023,84,0.3154138206969494,2,2.7833832022823745e-05
70387,72851,35.9530115,-101.8925362,30,0.315539968826542,2,2.7833832022823745e-05
50580,51988,32.5588998,-97.3175804,99,0.3159107659763972,2,2.7833832022823745e-05
5752,5835,37.869751,-99.79641,11,0.3159532954798486,2,2.7833832022823745e-05
4326,4383,30.3200964,-91.8580667,61,0.3160099574148297,2,2.7833832022823745e-05
26914,27482,41.9825858,-91.6677692,17,0.3167251169004675,2,2.7833832022823735e-05
37217,38097,45.9749743,-94.3692942,77,0.3167443219772879,2,2.7833832022823735e-05
23762,24265,43.0527963,-76.280839,45,0.316774618681808,2,1.291221644947799e-10
4440,4499,43.7969081,-87.9072513,59,0.3168562541750166,2,3.969274212276389e-06
17983,18388,42.7334929,-78.8326647,48,0.3168789732242262,2,2.7833832022823745e-05
51093,52525,29.0787492,-95.757872,110,0.3169936678913383,2,2.7833832022823745e-05
67714,69863,39.6977213,-105.1931453,14,0.3170018439657092,2,2.7833832022823745e-05
59398,61224,42.7739956,-82.4820807,25,0.3171287088065018,2,2.7833832022823745e-05
3396,3446,25.7775373,-80.314186,6,0.3171885020040079,2,2.7833832022823745e-05
49858,51230,33.8196173,-117.8714879,109,0.3172066772433756,2,2.783383202282375e-05
47703,48995,36.2191204,-115.2778389,100,0.3174088106769093,2,2.7833832022823745e-05
22122,22597,38.6813056,-90.5439788,68,0.3175157676464039,2,2.7833832022823745e-05
70608,73090,35.1943564,-119.5712623,101,0.317596213259853,2,2.7833832022823745e-05
25007,25545,40.2039117,-80.8821372,16,0.3178369099309731,2,2.7833832022823745e-05
24516,25046,40.7471657,-73.4975091,9,0.3178556557559563,2,2.7833832022823745e-05
6269,6362,44.5496131,-88.0706579,47,0.3178657314629258,2,1.9448741494628767e-05
28128,28774,40.8752443,-72.8746741,32,0.3179065144177243,2,2.7833832022823745e-05
70747,73244,26.1667924,-98.3239639,103,0.3179302493876642,2,7.724687375841459e-08
36131,36992,26.698447,-81.7827342,44,0.3179868069472277,2,3.8736649348433967e-10
50390,51787,37.9833662,-121.727941,106,0.3179910585059007,2,2.7833832022823735e-05
8057,8229,41.8257825,-90.201448,17,0.3181065603429081,2,2.7833832022823745e-05
7167,7293,26.2881143,-80.2358555,6,0.3181874512914718,2,1.6768950480521928e-05
47691,48983,29.6014347,-95.0144318,110,0.3182704297483856,2,8.784033251393578e-06
49052,50391,29.9678683,-95.3695004,110,0.3182961200178135,2,2.7833832022823745e-05
22380,22859,44.2023325,-89.8090387,47,0.3183135646292586,2,2.7833832022823745e-05
70456,72927,39.1343584,-120.9532628,106,0.3183452182142062,2,2.7833832022823745e-05
35669,36502,35.0025379,-81.0518952,8,0.3183828768648408,2,2.7833832022823745e-05
16493,16872,40.2779624,-81.8645078,16,0.3185855808839902,2,2.7833832022823745e-05
15509,15876,43.0018491,-78.8378669,48,0.3187141226898241,2,1.9368324674216984e-10
53462,55009,39.2364,-121.271741,106,0.3187393119572478,2,2.783383202282375e-05
13980,14323,44.0007921,-75.9618659,45,0.3188537700400801,2,2.7833832022823745e-05
31876,32615,38.3616535,-85.8220935,80,0.3190035278891115,2,4.896088652990945e-07
30850,31577,34.7658174,-91.2453439,73,0.3190492304052549,2,2.7833832022823745e-05
15152,15513,42.3658684,-77.6827999,5,0.3190642604653751,2,2.7833832022823745e-05
28696,29356,42.8381826,-75.5977737,5,0.3191646974504565,2,2.7833832022823745e-05
46244,47358,30.121398,-94.6329509,61,0.3193396236918281,2,2.783383202282373e-05
36107,36967,36.5726555,-99.2990641,104,0.3193493793141839,2,2.7833832022823745e-05
22967,23456,40.91725,-76.8142026,9,0.3193982270095746,2,2.7833832022823745e-05
69654,71907,40.0359286,-109.4192293,97,0.3194117540636829,2,2.7833832022823745e-05
71604,74225,33.9125634,-118.4141953,109,0.3194799181696727,2,2.7833832022823745e-05
49688,51054,34.2397452,-111.3347436,108,0.3195114465041194,2,2.7833832022823745e-05
70735,73231,34.1971593,-119.1743113,116,0.3195377073591628,2,2.7833832022823745e-05
69392,71610,45.3302,-122.5063909,86,0.3195511300378534,2,1.291221644947799e-10
19018,19442,40.3537012,-80.0875842,16,0.3195519650411935,2,2.7833832022823745e-05
52263,53748,27.8142983,-97.427003,103,0.3196111737363616,2,2.7833832022823745e-05
28579,29236,32.4171245,-83.63091,51,0.3197402513360053,2,1.961631392876168e-05
53342,54885,35.6015783,-119.726086,101,0.3197475436985081,2,2.7833832022823745e-05
40013,40922,39.9860189,-105.010058,14,0.3197757668114005,2,2.1675779327566617e-05
9309,9604,38.7048318,-76.6473084,49,0.3197934897572924,2,2.7833832022823745e-05
11196,11510,37.4730408,-77.6371986,28,0.3198025843353373,2,2.7833832022823745e-05
50808,52224,33.9535494,-98.6837051,99,0.3198345510465374,2,2.7833832022823745e-05
68352,70508,39.0941495,-106.3522965,97,0.3198430889556892,2,2.7833832022823745e-05
47279,48566,31.9304229,-106.5978077,113,0.319867909429971,2,2.7833832022823745e-05
24751,25284,39.4645752,-84.3768701,33,0.3198981295925184,2,2.7833832022823745e-05
41487,42405,45.6747024,-120.3106156,94,0.3199894232910265,2,2.7833832022823745e-05
31647,32383,38.398348,-87.7746006,68,0.3199956371075484,2,2.7833832022823745e-05
24621,25152,39.3487954,-81.3107806,50,0.3200906674460031,2,2.7833832022823745e-05
44402,45400,48.0850673,-105.6409109,90,0.320092121743487,2,2.7833832022823745e-05
10505,10818,47.9850675,-102.5778586,36,0.3201786280895125,2,2.7833832022823745e-05
16201,16577,37.1525902,-80.4115277,12,0.3201873051658873,2,2.7833832022823745e-05
36335,37199,43.105574,-82.6976241,25,0.3202030658539301,2,1.9368324674216984e-10
38367,39262,39.20617,-77.670078,20,0.3202036642729904,2,2.7833832022823745e-05
13461,13797,40.7623774,-82.5109615,16,0.3202349142729904,2,2.7833832022823745e-05
7923,8063,35.0785008,-85.0697128,63,0.3202548499777332,2,2.7833832022823745e-05
67695,69844,39.4011984,-103.7348954,14,0.320271195168114,2,2.7833832022823745e-05
71470,74061,34.0407741,-117.8218578,115,0.3203323522044088,2,2.7833832022823745e-05
45171,46192,46.584466,-120.5561015,88,0.3203427967045202,2,2.402262271288268e-06
