original_id,lat,lon,seamless_mavg_global,seamless_mavg_local,rank_global,rank_local,adap_betweenness_frac_global,adap_betweenness_frac_local,rank_disagreement
47242,38.0534065,-122.2344972,0.0539583124582498,0.0559444444444444,5.0,5.0,0.1213994655978624,0.0296296296296296,False
47253,38.084448,-122.245506,0.1732074148296593,0.1566703703703703,15.0,12.0,0.320709196170118,0.1516296296296296,False
47398,38.077187,-122.221859,0.5331380260521041,0.5365185185185186,59.0,60.0,0.6492130093520374,0.6736296296296297,False
47465,37.5830081,-122.3180309,0.0428213858272099,0.0456148148148148,4.0,4.0,0.0556131707860164,0.0888888888888888,False
48242,38.0669194,-122.1969726,0.5936303440213759,0.5835518518518519,77.0,73.0,0.3881460142507236,0.6671851851851852,False
48289,37.4617135,-122.2775602,0.5762720788799822,0.5941000000000002,68.0,77.0,0.7232956190158094,0.6290370370370371,False
48293,37.7386839,-122.1938003,0.4504288925072365,0.4429333333333332,49.0,48.0,0.5968548207526163,0.5805185185185185,False
48368,37.7369076,-122.1987211,0.4182350673569361,0.3927407407407408,42.0,40.0,0.2587063014918726,0.3417777777777778,False
48375,37.7548343,-122.3860199,0.7330956287575151,0.7213740740740742,134.0,121.0,0.7413215319527945,0.6547407407407407,False
48432,37.8557907,-122.076035,0.6947755232687597,0.7066518518518519,105.0,109.0,0.7357307670897351,0.6675555555555556,False
48476,37.9164418,-122.3022612,0.4095929845802716,0.3864555555555556,40.0,39.0,0.4353797873524828,0.4598518518518518,False
48561,37.9443012,-122.389204,0.1733317746604319,0.1572851851851851,16.0,13.0,0.3361386662213316,0.2017037037037037,False
48715,37.8760138,-122.1870216,0.6744285932977065,0.6666703703703704,97.0,94.0,0.699666137831218,0.6308888888888889,False
48771,37.7773716,-122.413826,0.6495541360498776,0.6471555555555556,87.0,86.0,0.6955021153417947,0.6502222222222223,False
48781,37.783643,-122.4170438,0.2923434577488311,0.2629777777777777,23.0,21.0,0.3009818247606323,0.1629629629629629,False
48814,37.8103025,-122.2715014,0.3609894719995547,0.3604851851851852,32.0,36.0,0.4198707136495213,0.6679259259259259,False
48862,37.7460158,-122.4033631,0.4894928328879983,0.4905296296296296,55.0,54.0,0.3337580716989535,0.1781481481481481,False
48931,37.9825368,-122.3580571,0.6994966112781117,0.6968962962962963,107.0,99.0,0.5022179080382989,0.6534074074074074,False
49037,37.6508974,-122.4540155,0.6126654419951014,0.610162962962963,81.0,80.0,0.6070399131596527,0.6737037037037038,False
49038,37.7415041,-122.1941947,0.599676150912937,0.5894629629629631,78.0,76.0,0.548461367178802,0.3792592592592593,False
49110,37.5112099,-122.2069288,0.3694354333667334,0.3368740740740741,35.0,31.0,0.4206422567356936,0.2314074074074074,False
49271,37.4930099,-122.1378681,0.498943839067023,0.6796814814814816,56.0,97.0,0.2774859441104431,0.6255555555555556,False
49273,37.6720594,-122.0881579,0.5118840597862391,0.5095592592592593,57.0,55.0,0.5095319806279225,0.6768888888888889,False
49514,38.0160941,-122.1162951,0.1095521390002226,0.2868777777777777,12.0,28.0,0.2621725395234914,0.2754814814814815,False
49535,37.6220883,-122.4468317,0.615959571921621,0.6003814814814816,82.0,79.0,0.5722869349810733,0.652888888888889,False
49596,37.8053994,-122.231324,0.7339818317189936,0.7205814814814816,135.0,118.0,0.724416471832554,0.6727407407407408,False
49653,38.011364,-122.265556,0.4734423151859274,0.4871925925925926,51.0,52.0,0.3910150857270095,0.1777777777777777,False
49695,37.7875037,-122.3933321,0.7208860220440882,0.7191,114.0,115.0,0.7165365453128479,0.6651111111111112,False
49727,37.855884,-122.0760422,0.6936004996103318,0.7022629629629631,104.0,106.0,0.7075257459363171,0.6436296296296297,False
49736,37.525089,-122.3562741,0.0922799974949899,0.0988999999999999,11.0,10.0,0.1621824203963482,0.0444444444444444,False
49902,37.4872463,-122.3111877,0.6541009519038077,0.7123666666666666,89.0,113.0,0.6729207025161434,0.6878518518518518,False
49923,37.8375297,-122.2636541,0.5549975297817858,0.5323666666666669,63.0,59.0,0.3451301213538187,0.1774074074074074,False
49935,37.5649004,-122.3193347,0.5776428342796706,0.575788888888889,69.0,71.0,0.7129428301046538,0.6526666666666667,False
49967,38.019003,-122.2353989,0.6960423694611445,0.7011,106.0,103.0,0.7129374025829437,0.6251851851851853,False
