original_id,lat,lon,seamless_mavg_global,seamless_mavg_local,rank_global,rank_local,adap_betweenness_frac_global,adap_betweenness_frac_local,rank_disagreement
NLD_0,51.4946567,4.2960754,0.5111493656820076,0.4708268858800774,270.0,193.0,0.5413130845448653,0.6775241779497099,False
NLD_1,51.5399789,4.4578403,0.1068486156125567,0.539127659574468,31.0,311.0,0.3101959440688952,0.1218568665377176,False
NLD_10,51.4333216,4.1171144,0.4889955736642282,0.503058994197292,215.0,222.0,0.6207861839059172,0.4598646034816248,False
NLD_1008,51.582016900000006,5.1934345,0.7144571256597833,0.7111905222437138,490.0,461.0,0.7311199185109732,0.7147969052224372,False
NLD_1012,51.8994088,5.1958728999999995,0.678244559681452,0.6961847195357833,424.0,439.0,0.7178872117788684,0.6795938104448743,False
NLD_1013,51.94698060000001,5.226601199999999,0.6797261042689138,0.6875560928433269,427.0,424.0,0.5169812019631448,0.7173114119922631,False
NLD_1015,51.8078029,5.2633823,0.1846640707472914,0.147884912959381,62.0,38.0,0.1121401981664969,0.02321083172147,False
NLD_1017,51.8825733,5.2709444,0.1002807574775442,0.1011208897485493,28.0,21.0,0.2450663950365774,0.0851063829787234,False
NLD_1023,51.64981099999999,5.2927051,0.7337621168626725,0.7309661508704063,503.0,495.0,0.5261777942402075,0.7102707930367504,False
NLD_1026,51.68965609999999,5.2928401,0.1841638022039078,0.2010667311411992,61.0,61.0,0.1879014723585517,0.6533268858800774,False
NLD_103,51.5920221,5.9970961,0.4606679692564125,0.4405889748549322,188.0,143.0,0.4088102602092786,0.5288588007736944,False
NLD_1037,51.7005543,5.3191158000000005,0.6455891564033707,0.6542785299806576,390.0,385.0,0.7035973701268635,0.2484912959381044,False
NLD_1038,51.71502690000001,5.3690961999999995,0.4558901287156218,0.4493036750483559,183.0,154.0,0.5880774145754237,0.715899419729207,False
NLD_104,51.526454,6.0142546,0.597246596907121,0.6877698259187622,345.0,426.0,0.3816781183442911,0.7279303675048355,False
NLD_1049,52.346391800000006,4.9172469,0.035677747939624,0.0378510638297872,4.0,4.0,0.2764635614408741,0.0986460348162475,False
NLD_1053,52.3316938,4.9176682000000005,0.6122228076673766,0.6204419729206964,357.0,357.0,0.8003689230484304,0.6881431334622824,False
NLD_1056,52.31836210000001,4.9414197999999985,0.5339300583387351,0.5454332688588007,307.0,317.0,0.2780272247430317,0.0599613152804642,False
NLD_1057,52.31172900000001,4.9473287,0.3735597833132696,0.3808588007736943,103.0,99.0,0.5116071858505418,0.7158220502901353,False
NLD_106,51.94344520000001,6.014453100000001,0.629214927308084,0.5567785299806576,379.0,328.0,0.8016147791462173,0.7187814313346228,False
NLD_1060,52.2980894,4.9599574,0.1288977405315307,0.1488617021276595,51.0,41.0,0.3425617186776553,0.1611605415860734,False
NLD_1061,52.2956478,4.974421799999999,0.5876619224002223,0.6055802707930367,343.0,343.0,0.7766417260857487,0.717659574468085,False
NLD_1062,52.31206770000001,5.043854700000001,0.3575048430410222,0.4024767891682785,97.0,105.0,0.1239261042689137,0.0077369439071566,False
NLD_1064,52.6643137,5.0605357,0.7011299749976848,0.7063723404255318,452.0,456.0,0.7774860635244004,0.6832495164410058,False
NLD_1066,52.345623399999994,4.9662255,0.5516296045930179,0.5376808510638298,325.0,306.0,0.8018079451801093,0.6942166344294004,False
NLD_1068,52.38869420000002,4.9181208,0.6234148810075008,0.6294400386847196,371.0,365.0,0.8056536716362626,0.7002321083172147,False
NLD_1071,52.4963796,4.935029200000001,0.5263012408556348,0.5423007736943907,291.0,314.0,0.5730723215112511,0.5323791102514507,False
NLD_1072,52.6452038,5.0542714,0.0576401611260301,0.067495164410058,12.0,11.0,0.2396792295582924,0.0638297872340425,False
NLD_1074,52.33009800000001,4.9552798000000005,0.1214340401889063,0.1110357833655706,42.0,22.0,0.357452541902028,0.1771179883945841,False
NLD_1075,52.32371680000001,4.9363673,0.4480039725900547,0.4689487427466152,167.0,190.0,0.5287156218168348,0.0793036750483559,False
NLD_1078,52.328939000000005,4.9662522,0.6656746458005369,0.6874932301740813,402.0,423.0,0.6831630706546903,0.6916634429400387,False
NLD_1079,52.6533353,5.084912399999999,0.6977094823594777,0.7039622823984526,448.0,451.0,0.8014312436336698,0.7190715667311411,False
NLD_108,51.923197300000005,6.0719818000000005,0.0504616816371886,0.2661083172147002,7.0,71.0,0.0789480507454394,0.0135396518375241,False
NLD_1080,52.40199309999999,4.9323589000000005,0.6340328826743218,0.6405116054158608,383.0,373.0,0.794502639133253,0.7207736943907156,False
NLD_1082,52.3230792,4.9735502,0.4499893693860542,0.4567446808510638,174.0,169.0,0.6284554125381979,0.4997485493230174,False
NLD_1087,52.29627110000001,4.989299,0.6448606537642374,0.6423317214700195,389.0,375.0,0.8134875451430689,0.7007930367504835,False
NLD_1089,52.30661069999999,4.952236400000001,0.7077836373738309,0.7148210831721472,465.0,470.0,0.5651482544680063,0.699651837524178,False
NLD_1090,51.964759,4.5608378,0.4623147606259839,0.4709323017408123,193.0,194.0,0.5453104917121956,0.4528239845261122,False
NLD_1093,51.93303529999999,4.563032399999999,0.706420964904158,0.7134835589941972,463.0,464.0,0.6743105843133624,0.7004061895551258,False
