label,protocol,m,stochastic_id,AUC_S1,AUC_S2,p_LCC_0.5,p_LCC_0.25,p_LCC_0.1,p_LCC_0.05,max_S2_over_N,p_at_max_S2
US Power Grid,adap_betweenness,,1,0.015593599252551415,0.0049970540691095236,0.012468076681921153,0.019079042554054376,0.028389595728925476,0.03390036702816106,0.1965597862391449,0.0058450233800935
US Power Grid,adap_betweenness,,2,0.013645108995979989,0.004710168864101925,0.010467157831756009,0.015310624877064463,0.024150926617830748,0.035150016869688876,0.196838120685816,0.0048708528167446
US Power Grid,adap_betweenness,,3,0.01298102011161286,0.005154643673712739,0.007665129208382882,0.016083726714782462,0.025055288570668827,0.03348326770500054,0.3152137608550434,0.0077933645067913
US Power Grid,adap_betweenness,,4,0.013188473323040793,0.005191804126759653,0.010288420177708903,0.01425869510723426,0.02578695990821443,0.0348905275829436,0.3260827209975506,0.0107158761968381
US Power Grid,adap_betweenness,,5,0.013420682093485013,0.0055711362961331674,0.009595523632262534,0.0163727062169997,0.02554868190487241,0.03283017974268171,0.3208221999554665,0.0097417056334892
US Power Grid,adap_betweenness,,6,0.014794995222204177,0.006036326600912045,0.010546284763776934,0.017221940338677685,0.029073256321439405,0.037768467847375566,0.3202655310621242,0.0107158761968381
US Power Grid,adap_betweenness,,7,0.01374461929344964,0.005944150781770862,0.008625943639744798,0.016966408830721504,0.027692009409938906,0.03640325596235452,0.3220329547984858,0.0087675350701402
US Power Grid,adap_betweenness,,8,0.01389724694044062,0.005680828096790812,0.010496162511014963,0.015158856001879245,0.027086350919661044,0.03493427894528945,0.3388443553774215,0.0107158761968381
US Power Grid,adap_betweenness,,9,0.014582349579722998,0.00525587574335934,0.010438195860382042,0.016342169107198472,0.027964047753626837,0.03615761862574632,0.1980906256958361,0.0048708528167446
US Power Grid,adap_betweenness,,10,0.01377615348308378,0.005390350217555755,0.009572790351834405,0.014521956634064862,0.025247188033286527,0.03483259676918179,0.3236055444221777,0.0097417056334892
US Power Grid,adap_betweenness,,11,0.015100467432365849,0.005978803141489177,0.011443978683829261,0.018170669051028918,0.028795018426413577,0.036560124028775835,0.3611806947227789,0.011690046760187
US Power Grid,adap_betweenness,,12,0.014578553546577007,0.005688176132380535,0.009598419945505447,0.015926363893845986,0.029625373936278336,0.04003681576646653,0.3123051658873302,0.0097417056334892
US Power Grid,adap_betweenness,,13,0.0142216586445485,0.005473944290334781,0.009627056766198325,0.015407337954734575,0.02716693584679013,0.03714950407900059,0.3076848140725896,0.0097417056334892
US Power Grid,adap_betweenness,,14,0.014838419129941967,0.00503967809843441,0.010499003000679144,0.017946472151136122,0.02834138823817288,0.03501225694540346,0.1976592073034959,0.0058450233800935
US Power Grid,adap_betweenness,,15,0.013889126140960453,0.00616897084484166,0.009591804403958522,0.016392946104287837,0.02722300348772346,0.03661781162000173,0.3208500334001336,0.0097417056334892
US Power Grid,adap_betweenness,,16,0.013523283446516422,0.005250778213134736,0.009590877461611783,0.014791083815561046,0.026079413392996,0.03505070314818074,0.3188599421064351,0.0097417056334892
US Power Grid,adap_betweenness,,17,0.01556702702052955,0.004987469085415919,0.012530923847638027,0.017255163036954426,0.02757238887935109,0.03568085075260005,0.1970329547984858,0.0058450233800935
US Power Grid,adap_betweenness,,18,0.014120413017640655,0.0055264651203616915,0.011227781234495882,0.01640386953410658,0.025872335190972432,0.034038770711657736,0.3326374972166555,0.011690046760187
US Power Grid,adap_betweenness,,19,0.012890538950126125,0.004936141294377753,0.009598408231962802,0.01341721606558709,0.024919971431615007,0.0344571516414812,0.1974782899131596,0.0038966822533956
US Power Grid,adap_betweenness,,20,0.015142413598628968,0.004855475590025625,0.014742271737448527,0.016186022725952976,0.026347420234705363,0.03650468175755858,0.1972973725228234,0.0058450233800935
US Power Grid,adap_betweenness,,21,0.013847871395020375,0.005334562087571052,0.010556894191628047,0.015268468643653896,0.0267806290968233,0.03401699849402947,0.3177883544867513,0.0107158761968381
US Power Grid,adap_betweenness,,22,0.013406650328106126,0.0051172527472248125,0.01038451193244932,0.014353072386848142,0.025829366007819324,0.03470182373880179,0.3164523491427299,0.0107158761968381
US Power Grid,adap_betweenness,,23,0.014677711355254556,0.0051595649595412765,0.011444034411927935,0.01634356725352667,0.02947022249627459,0.036631715378235175,0.1966572032954798,0.0048708528167446
US Power Grid,adap_betweenness,,24,0.013627335426500032,0.0053364329896215795,0.011377902960075438,0.014280880389126506,0.029669040914713733,0.036259169923557474,0.1985498775328434,0.0038966822533956
