node,adap_betweenness,adap_degree,betweenness,degree,random,seamless_mavg
1,0.6442883211678831,0.6505839416058393,0.7627737226277372,0.791970802919708,0.5012956204379562,0.646986313868613
2,0.654543795620438,0.7219525547445255,0.7645985401459854,0.7937956204379562,0.49038321167883214,0.7071541970802918
3,0.6547992700729927,0.7090875912408758,0.12773722627737225,0.33394160583941607,0.47211678832116794,0.6315684306569341
4,0.6661678832116789,0.7387591240875911,0.7664233576642335,0.7956204379562044,0.49372262773722625,0.7049361313868613
5,0.6092700729927008,0.5713868613138686,0.5255474452554745,0.3357664233576642,0.4801094890510949,0.5546286496350363
6,0.40271897810218976,0.28936131386861313,0.5273722627737226,0.12043795620437955,0.5220620437956204,0.37414872262773724
7,0.07481751824817517,0.06897810218978101,0.30474452554744524,0.07116788321167883,0.4989233576642336,0.09461587591240875
8,0.6498175182481752,0.6947992700729927,0.7682481751824817,0.7974452554744526,0.46414233576642333,0.6670036496350366
9,0.6524452554744525,0.7041605839416059,0.14963503649635035,0.3375912408759124,0.524124087591241,0.7153138686131386
10,0.01824817518248175,0.005474452554744526,0.0072992700729927005,0.005474452554744526,0.5113321167883211,0.014208029197080288
11,0.6703284671532846,0.5288138686131387,0.7700729927007299,0.7992700729927007,0.49622262773722625,0.5623868613138686
12,0.6393795620437956,0.7202007299270073,0.7718978102189781,0.8010948905109488,0.5416970802919708,0.7062572992700729
13,0.6704014598540146,0.527463503649635,0.7737226277372262,0.8029197080291971,0.5095985401459854,0.5640912408759124
14,0.6687226277372262,0.5444708029197081,0.5291970802919708,0.33941605839416056,0.5052007299270074,0.5407372262773722
15,0.6498722627737226,0.5774270072992701,0.7755474452554745,0.8047445255474452,0.4995620437956204,0.5563284671532845
16,0.6394160583941605,0.515036496350365,0.5310218978102189,0.34124087591240876,0.49063868613138684,0.5548877737226275
17,0.06021897810218978,0.5186861313868613,0.21715328467153283,0.12226277372262773,0.5069890510948905,0.4253211678832116
18,0.2569343065693431,0.17895985401459852,0.23905109489051093,0.12408759124087591,0.5098722627737227,0.23599635036496344
19,0.6767883211678832,0.5616058394160584,0.6678832116788321,0.3430656934306569,0.48808394160583946,0.5563129562043795
