node,adap_betweenness,adap_degree,betweenness,degree,random,seamless_mavg
1,0.6775241779497099,0.6201353965183752,0.41392649903288203,0.33462282398452614,0.4884332688588008,0.4708268858800774
2,0.1218568665377176,0.3022437137330754,0.3655705996131528,0.13926499032882012,0.481605415860735,0.539127659574468
3,0.4598646034816248,0.5615860735009671,0.5512572533849129,0.3365570599613153,0.4897872340425532,0.503058994197292
4,0.7147969052224372,0.7660541586073502,0.6982591876208898,0.33849129593810445,0.504816247582205,0.7111905222437138
5,0.6795938104448743,0.7201353965183752,0.8491295938104448,0.3404255319148936,0.5054158607350097,0.6961847195357833
6,0.7173114119922631,0.7577562862669246,0.21470019342359767,0.34235976789168276,0.5299032882011605,0.6875560928433269
7,0.02321083172147002,0.009961315280464218,0.017408123791102514,0.01160541586073501,0.4799613152804642,0.14788491295938105
8,0.0851063829787234,0.05669245647969052,0.18762088974854932,0.03868471953578337,0.4588974854932302,0.10112088974854934
9,0.7102707930367504,0.7468278529980658,0.0425531914893617,0.344294003868472,0.5243713733075436,0.7309661508704063
10,0.6533268858800774,0.2358220502901354,0.02321083172147002,0.06963249516441006,0.5022050290135396,0.2010667311411992
11,0.5288588007736944,0.4042359767891683,0.29593810444874274,0.34622823984526113,0.4971179883945841,0.4405889748549322
12,0.24849129593810446,0.6803868471953578,0.5377176015473888,0.3481624758220503,0.5460348162475822,0.6542785299806576
13,0.715899419729207,0.4318181818181818,0.6266924564796905,0.35009671179883944,0.48582205029013537,0.4493036750483559
14,0.7279303675048355,0.7548549323017408,0.3191489361702128,0.35203094777562866,0.48762088974854934,0.6877698259187622
15,0.09864603481624758,0.012224371373307544,0.5261121856866537,0.013539651837524178,0.49965183752417797,0.03785106382978722
16,0.6881431334622824,0.5944294003868472,0.8858800773694391,0.1411992263056093,0.4863249516441006,0.6204419729206964
17,0.059961315280464215,0.24410058027079304,0.3172147001934236,0.07156673114119923,0.4955899419729208,0.5454332688588007
18,0.7158220502901353,0.6014506769825918,0.3829787234042553,0.3539651837524178,0.4830560928433269,0.38085880077369433
19,0.7187814313346228,0.5015280464216635,0.18181818181818182,0.35589941972920697,0.46636363636363637,0.5567785299806576
20,0.16116054158607349,0.13352030947775628,0.32688588007736946,0.14313346228239845,0.53678916827853,0.14886170212765956
21,0.717659574468085,0.6477756286266925,0.7620889748549323,0.3578336557059961,0.5090715667311412,0.6055802707930367
22,0.007736943907156673,0.1723404255319149,0.05222437137330754,0.0735009671179884,0.479458413926499,0.4024767891682785
