node,adap_degree,betweenness,degree,random,seamless_mavg
1,0.48826095008797116,0.6669506435781091,0.21166774701361238,0.5015869987961848,0.5001105287526623
2,0.5622787295119919,0.6239651819612927,0.21168626724696732,0.5252599314751366,0.5255714788406334
3,0.5311176960829707,0.2683952217797944,0.21170478748032226,0.5019288823039171,0.5039772756736736
4,0.4973606815445875,0.2575794055005093,0.2117233077136772,0.49872654875451433,0.5059062227984072
5,0.7421946476525605,0.9487359940735254,0.9572923418835078,0.46862709510139827,0.7233663950365774
6,0.4214812482637281,0.7782757662746551,0.21174182794703214,0.4981551995555144,0.45832674321696454
7,0.5882652097416428,0.3436058894342069,0.21176034818038708,0.5413438281322345,0.45767361792758593
8,0.476693397536809,0.35140290767663673,0.21177886841374202,0.500357996110751,0.5354306602463191
9,0.5316295953329012,0.3173812390036114,0.07898879525882026,0.547462357625706,0.514590786183906
10,0.6894332808593387,0.5880729697194185,0.21179738864709696,0.4636177423835541,0.6664110750995462
11,0.4724155940364849,0.5561070469487915,0.2118159088804519,0.5362192795629225,0.45240740809334196
12,0.32237836836744144,0.3119177701639041,0.0790073154921752,0.4469180479674044,0.5039394943976294
13,0.6830154643948514,0.5048245207889619,0.21183442911380684,0.48861764978238725,0.6651973053060469
14,0.07994221687193258,0.37836836744142976,0.07902583572553014,0.453420872302991,0.12363188258172053
15,0.20702509491619595,0.3018242429854616,0.07904435595888508,0.5333869802759514,0.5202791647374755
16,0.4084428187795166,0.5880914899527734,0.21185294934716178,0.5483796647837762,0.4236271043615149
17,0.4384483748495231,0.29223076210760257,0.21187146958051672,0.5499864802296509,0.5247379942587276
18,0.5243704046670988,0.2881933512362256,0.21188998981387167,0.4908880451893694,0.5000219557366423
19,0.48103361422353924,0.2802852115936661,0.2119085100472266,0.4938401703861469,0.5043481896471896
20,0.774755440318548,0.9487545143068803,0.9573108621168627,0.518920270395407,0.7622580887119178
21,0.6940938975831096,0.9487730345402352,0.21192703028058155,0.5070050930641726,0.6467053060468563
22,0.694303731827021,0.5561255671821465,0.2119455505139365,0.5839940735253264,0.6801749699046208
23,0.6959131401055654,0.7170478748032225,0.21196407074729143,0.5144889341605705,0.665068015556996
24,0.6843478099824057,0.3691823316973794,0.21198259098064637,0.451139735160663,0.6784971849245299
25,0.5187859987035837,0.28443374386517273,0.2120011112140013,0.5161222335401426,0.4963605148624873
26,0.32576405222705807,0.3364941198259098,0.07906287619224002,0.4663870728771182,0.5756560144457821
27,0.6596386702472452,0.29697194184646725,0.21201963144735625,0.5162559496249653,0.454897647930364
28,0.46741920548198906,0.35988517455319935,0.2120381516807112,0.5330717659042504,0.42962802111306597
29,0.4313706824705991,0.5290304657838689,0.21205667191406613,0.5107052504861561,0.44265422724326325
30,0.46781016760811184,0.8531160292619687,0.21207519214742107,0.5183504028150755,0.420671201037133
31,0.07862783591073248,0.623557736827484,0.07908139642559496,0.44181276044078155,0.11258403555884802
32,0.6865487545143069,0.9487915547735901,0.9573293823502176,0.47810723215112516,0.7035983516992312
33,0.2527326604315214,0.8531345494953236,0.0790999166589499,0.5543911473284563,0.43750728771182523
34,0.5439277710899157,0.276266320955644,0.212093712380776,0.46108065561626077,0.5032505880174091
35,0.514309473099361,0.7170663950365774,0.21211223261413095,0.4743752199277711,0.5049124455968146
36,0.545743124363367,0.77829428650801,0.2121307528474859,0.48039781461246417,0.5144281044541161
37,0.40980275951476985,0.8531530697286785,0.21214927308084083,0.47487452541902025,0.41102995647745155
38,0.716283174367997,0.9488100750069451,0.9573479025835726,0.5079281414945829,0.7137775997777572
39,0.48393388276692284,0.27232151125104176,0.21216779331419577,0.5077575701453838,0.5076921289008242
40,0.47961514955088436,0.26432077044170754,0.21218631354755071,0.46089897212704883,0.5004963329937958
41,0.548221131586258,0.260783405870914,0.21220483378090566,0.4706159829613853,0.5003820724141124
42,0.4943504028150755,0.3250300953792018,0.2122233540142606,0.4728408185943143,0.509582600240763
43,0.5252138160940828,0.32636355218075747,0.2122418742476155,0.4951767756273729,0.491548374849523
44,0.33329697194184643,0.25443096583016944,0.07911843689230484,0.5183092878970276,0.551863163255857
45,0.40398833225298636,0.9196592277062691,0.21226039448097045,0.4951078803592925,0.43182372441892775
46,0.4003159551810353,0.5561440874155015,0.07913695712565978,0.4581207519214742,0.5465547550699139
47,0.5460348180387073,0.5881100101861284,0.2122789147143254,0.4858655431058432,0.45177046022779876
48,0.4481914992128901,0.6239837021946476,0.21229743494768033,0.5618944346698769,0.5294751551069545
49,0.5367522918788776,0.6806556162607649,0.21231595518103527,0.5324074451338087,0.49925335679229565
50,0.4850889897212705,0.7333086396888601,0.2123344754143902,0.5168095193999445,0.5006481340864894
51,0.5622607648856376,0.79692564126308,0.21235299564774515,0.5496708954532827,0.5277804981942774
52,0.4840124085563478,0.6929715714418002,0.2123715158811001,0.48604352254838407,0.5040796740438929
