seamless_id,original_id,lat,lon
1,47242,38.0534065,-122.2344972
2,47253,38.084448,-122.245506
3,47398,38.077187,-122.221859
4,47465,37.5830081,-122.3180309
5,48242,38.0669194,-122.1969726
6,48289,37.4617135,-122.2775602
7,48293,37.7386839,-122.1938003
8,48368,37.7369076,-122.1987211
9,48375,37.7548343,-122.3860199
10,48432,37.8557907,-122.076035
11,48476,37.9164418,-122.3022612
12,48561,37.9443012,-122.389204
13,48715,37.8760138,-122.1870216
14,48771,37.7773716,-122.413826
15,48781,37.783643,-122.4170438
16,48814,37.8103025,-122.2715014
17,48862,37.7460158,-122.4033631
18,48931,37.9825368,-122.3580571
19,49037,37.6508974,-122.4540155
20,49038,37.7415041,-122.1941947
21,49110,37.5112099,-122.2069288
22,49271,37.4930099,-122.1378681
23,49273,37.6720594,-122.0881579
24,49514,38.0160941,-122.1162951
25,49535,37.6220883,-122.4468317
26,49596,37.8053994,-122.231324
27,49653,38.011364,-122.265556
28,49695,37.7875037,-122.3933321
29,49727,37.855884,-122.0760422
30,49736,37.525089,-122.3562741
31,49902,37.4872463,-122.3111877
32,49923,37.8375297,-122.2636541
33,49935,37.5649004,-122.3193347
34,49967,38.019003,-122.2353989
35,50029,37.8580134,-122.2686064
36,50055,37.7037063,-122.4094698
37,50058,38.0285857,-122.2027291
38,50111,38.021451,-122.166174
39,50197,38.0028333,-122.208258
40,50284,37.7610901,-122.3767541
41,50306,38.0153443,-122.2872298
42,50317,37.6321542,-122.101985
43,50341,37.5927162,-122.4167065
44,50343,37.8478918,-122.1606837
45,50377,37.7105722,-122.1486701
46,50488,37.5365523,-122.3220427
47,50640,37.9939201,-122.1301857
48,50711,37.9119734,-122.051362
49,50843,37.4976615,-122.2141763
50,50869,37.7157891,-122.1439525
51,50884,37.6382954,-122.406318
52,50901,37.6040302,-122.4231786
53,50963,37.5115777,-122.3397901
54,51033,37.5300003,-122.3616985
55,51345,37.6351159,-122.4065227
56,51409,37.6058264,-122.3915879
57,51410,37.7156412,-122.1617208
58,51430,38.026372,-122.101782
59,51505,37.8763066,-122.2456651
60,51523,37.4576948,-122.2863489
61,51531,37.5234288,-122.2653046
62,51603,37.9250072,-122.3373611
63,51638,37.7174309,-122.1628185
64,51804,37.7979198,-122.2820704
65,51900,37.7370732,-122.377022
66,51911,37.6714782,-122.1596296
67,51934,37.6251142,-122.1165693
68,52037,37.9089195,-122.0573067
69,52060,37.945407,-122.381033
70,52149,38.0662214,-122.1963842
71,52164,37.6765228,-122.1350703
72,52187,37.7644381,-122.4073527
73,52245,37.9955419,-122.3503663
74,52313,38.00446,-122.234651
75,52331,37.5990923,-122.4240369
76,52374,37.6772638,-122.0919634
77,52508,37.9261752,-122.3695789
78,52607,37.7070528,-122.1772982
79,52772,38.0289597,-122.1031305
80,52797,37.6863815,-122.1021766
81,52872,37.7630025,-122.2143118
82,52896,37.942586,-122.3905568
83,52931,37.9632036,-122.0522625
84,53047,37.798803,-122.288374
85,53104,37.6537825,-122.4031024
86,53138,37.615707,-122.4398977
87,53159,37.77935,-122.2927172
88,53590,37.6917546,-122.4559335
89,53622,37.7887057,-122.2898597
90,53705,37.6802083,-122.1262304
91,53735,37.722393,-122.1616491
92,53805,37.550471,-122.071001
93,53820,37.5570682,-122.057873
94,54119,37.4688946,-122.4301796
95,54120,37.8474173,-122.2286543
96,54200,37.5517035,-122.2926347
97,54254,37.5947683,-122.4888575
98,54266,37.710008,-122.1787489
99,54328,37.6262604,-122.4035945
100,54482,37.7975518,-122.280834
101,54490,37.7723691,-122.2429769
102,54523,37.5899648,-122.3633669
103,54656,37.9432789,-122.3839987
104,54721,37.9056501,-122.2084971
105,54750,37.6209799,-122.4252459
106,54778,37.5113374,-122.340175
107,54799,37.6933017,-122.0427455
108,54873,38.0372921,-122.1780828
109,54949,37.5528653,-122.3763331
110,54986,37.6914091,-122.0611906
111,72181,37.9660821,-122.2785688
112,72623,37.7574534,-122.3865173
113,72680,37.9471342,-122.3992805
114,72799,37.6218966,-122.4459269
115,72881,37.8646817,-122.0804418
116,72905,38.0854608,-122.2572717
117,72914,38.0149469,-122.116201
118,73005,37.4853725,-122.3143006
119,73008,38.044659,-122.2575936
120,73110,38.012136,-122.2643198
121,73264,37.6383388,-122.3938625
122,73416,38.0909307,-122.2485347
123,73478,37.7217945,-122.1656941
124,73596,37.6809376,-122.429752
125,73638,37.9956681,-122.3506239
126,73807,37.7706599,-122.2247058
127,73846,37.7985347,-122.2884655
128,73982,37.9959607,-122.3481655
129,73989,37.9409285,-122.3886994
130,74128,37.7563607,-122.3866288
131,74139,37.530594,-122.2667277
132,74161,37.8090246,-122.3127174
133,74215,37.5114255,-122.2075934
134,74239,37.9502787,-122.3949096
135,74364,37.796432,-122.280929
