node,adap_betweenness
1,0.1537835421760391
2,0.6994288661369192
3,0.29669384168704155
4,0.03461735941320293
5,0.152747402200489
6,0.7362569529339853
7,0.7292247096577016
8,0.40826199572127136
9,0.1637950030562347
10,0.7388830226161368
11,0.6866534993887531
12,0.7278397004889975
13,0.7394927414425427
14,0.713828086797066
15,0.1504575183374083
16,0.7261972799511002
17,0.7006245415647921
18,0.315005042787286
19,0.3579423135696821
20,0.5381497555012223
21,0.111289043398533
22,0.7051862775061124
23,0.7301074266503668
24,0.4272227231051345
25,0.7190199419315403
26,0.7100132946210268
27,0.3359313875305623
28,0.7399704309290953
29,0.0752252444987775
30,0.6048152506112469
31,0.4673885238386307
32,0.7403131876528117
33,0.7441065097799511
34,0.7288788202933985
35,0.59909375
36,0.23607357885085573
37,0.3871622096577017
38,0.7632507640586796
39,0.6841787133251833
40,0.6200073349633252
41,0.7321721424205379
42,0.7094255806845965
43,0.1536199572127139
44,0.3452949266503667
45,0.6485702169926649
46,0.3294575947432763
47,0.11115624999999998
48,0.7303526130806846
49,0.4915071821515892
50,0.2090116136919315
51,0.490252521393643
52,0.42166152200488993
53,0.12379691320293398
54,0.548281097188264
55,0.6094337561124694
56,0.6571506723716382
57,0.7070209352078238
58,0.5574291717603912
59,0.4051542634474327
60,0.39260062652811734
61,0.7157380042787285
62,0.3907261613691931
63,0.7242945446210268
64,0.41461117053789726
65,0.7246052108801956
66,0.7461608343520781
67,0.38772211185819067
68,0.24792665036674813
69,0.725187194376528
70,0.6477815556234717
71,0.7038847799511002
72,0.7216742817848409
73,0.2469676803178484
74,0.4856107885085574
75,0.7474351314180928
76,0.3111220965770171
77,0.713479217603912
78,0.4178866136919315
79,0.3387299052567237
80,0.7125369040342298
81,0.7212904951100244
82,0.7183218215158924
83,0.29453728606356966
84,0.4263414578239608
85,0.04821485330073349
86,0.6862986705378973
87,0.03079164119804401
88,0.6997899602689486
89,0.7413389364303178
90,0.33876841381418094
91,0.5048970048899755
92,0.549020400366748
93,0.5285194070904644
94,0.4300507334963325
95,0.7300369040342297
96,0.29699702017114915
97,0.41067733801955986
98,0.4892974480440097
99,0.7477704003667481
100,0.39762584046454763
101,0.3189328392420538
102,0.4393425275061124
103,0.44420262836185814
104,0.7273636919315403
105,0.7338889822738386
106,0.4690053484107579
107,0.4731955990220048
108,0.6140197891198044
109,0.31638447432762834
110,0.6141859718826406
111,0.7551029951100244
112,0.33608099022004884
113,0.7491986552567236
114,0.7008100550122249
