label,protocol,m,stochastic_id,AUC_S1,AUC_S2,p_LCC_0.5,p_LCC_0.25,p_LCC_0.1,p_LCC_0.05,max_S2_over_N,p_at_max_S2
EU Power Grid,adap_betweenness,,1,0.009734584824244025,0.004317707683385264,0.0063943412366165645,0.012446797561345896,0.01889240762303272,0.024804857082740675,0.3572891198044009,0.0049663814180929
EU Power Grid,adap_betweenness,,2,0.010293242020070219,0.004377161583185606,0.006698366906445828,0.014156357463106376,0.017294076487085332,0.027862459653974502,0.4187347188264058,0.0049663814180929
EU Power Grid,adap_betweenness,,3,0.01077025357968023,0.004335678941328507,0.006205325915173779,0.013487846923847803,0.01964922481977841,0.028128781704576236,0.3687958435207824,0.0059596577017114
EU Power Grid,adap_betweenness,,4,0.010789781502101938,0.004310376502991212,0.007141059055009767,0.014140490640843965,0.018435021930068584,0.025758849592076048,0.356372249388753,0.0059596577017114
EU Power Grid,adap_betweenness,,5,0.009661235074235067,0.0040971195991886126,0.007098920120309696,0.013074777086710312,0.018130905549746636,0.02420820194793209,0.3683832518337408,0.0049663814180929
EU Power Grid,adap_betweenness,,6,0.010153106314188339,0.004126861727516111,0.0061978426520909995,0.01236473171925638,0.018988552425747818,0.026393154365528963,0.3667023227383862,0.0059596577017114
EU Power Grid,adap_betweenness,,7,0.010536870081255425,0.004104147211036355,0.007132936231511878,0.013248869817275466,0.018159182016390846,0.027903136012488852,0.3698349633251833,0.0059596577017114
EU Power Grid,adap_betweenness,,8,0.010259432073221797,0.004101422683332968,0.005945831492358081,0.011680767788774983,0.01834934799248525,0.02559249589936849,0.4270629584352078,0.0059596577017114
EU Power Grid,adap_betweenness,,9,0.010164164674167213,0.004651018358050947,0.007531402405630277,0.013213159305950623,0.019142203277710348,0.02572419389350926,0.419101466992665,0.0049663814180929
EU Power Grid,adap_betweenness,,10,0.010220415925803686,0.004746733520711379,0.00711865454877863,0.012890881134926598,0.020046056233837078,0.0266155322449194,0.3572279951100244,0.0049663814180929
EU Power Grid,adap_betweenness,,11,0.009475519426799016,0.00407785817492346,0.0054659051268978135,0.012997843942947349,0.015510391198043894,0.022670408990075486,0.3570064180929095,0.0049663814180929
EU Power Grid,adap_betweenness,,12,0.010320449351035781,0.004425208894857285,0.0071770557190810646,0.01373715002603131,0.018338639719886522,0.026463283528720162,0.4188569682151589,0.0049663814180929
EU Power Grid,adap_betweenness,,13,0.009775961217109925,0.004353688145340005,0.006187190895413596,0.012226630309094962,0.017958586853058026,0.023650218418136786,0.4187347188264058,0.0049663814180929
EU Power Grid,adap_betweenness,,14,0.010683130282559666,0.004245921311389954,0.006926076858408129,0.013442558313783385,0.019150382836868915,0.025528805557776004,0.3577704767726161,0.0059596577017114
EU Power Grid,adap_betweenness,,15,0.010075878475999908,0.004461591585135917,0.006468273991128186,0.011784335541568595,0.018851273367856705,0.026376743851574833,0.369804400977995,0.0049663814180929
EU Power Grid,adap_betweenness,,16,0.009631439821411979,0.004409415741234033,0.004952020039887927,0.011570750287495019,0.01841878166013258,0.02370413213556662,0.4666259168704156,0.0049663814180929
EU Power Grid,adap_betweenness,,17,0.010193656358443956,0.003934330966214771,0.0061946469902819075,0.012678136482335357,0.017182050700080723,0.02636921851697793,0.3560742665036674,0.0059596577017114
EU Power Grid,adap_betweenness,,18,0.010273176139157267,0.004610416064978219,0.006370583143669301,0.01418576762326605,0.017986199075028648,0.026568758476940436,0.3574648533007334,0.0049663814180929
EU Power Grid,adap_betweenness,,19,0.009312312511395443,0.004180160775039434,0.006175304937131105,0.011292147681125318,0.016592415394421828,0.023464523361894328,0.3686124694376528,0.0049663814180929
EU Power Grid,adap_betweenness,,20,0.009862926016422162,0.004183818776022806,0.007089523906375444,0.012750228156293309,0.016681971477033486,0.025570497147514228,0.3696057457212713,0.0049663814180929
EU Power Grid,adap_betweenness,,21,0.009597326306017215,0.004095222295774006,0.006378467701817251,0.011505917627695246,0.017622200889507375,0.023886103570401194,0.3692848410757945,0.0049663814180929
EU Power Grid,adap_betweenness,,22,0.010245589347508775,0.0046047089763070585,0.006473430181487143,0.013216311908061338,0.018962497808611065,0.028919778673114807,0.3690785452322738,0.0049663814180929
EU Power Grid,adap_betweenness,,23,0.010973721273541907,0.004458920181928149,0.005851324541999088,0.013410674010846366,0.018552356350322558,0.026467588035436425,0.426856662591687,0.0059596577017114
EU Power Grid,adap_betweenness,,24,0.011018686488789757,0.004267505035034603,0.007108614439757401,0.014576008891306055,0.019108626397469106,0.026324984816158695,0.3572661980440097,0.0059596577017114
EU Power Grid,adap_betweenness,,25,0.010481582659753576,0.00401843463197777,0.006497265992040179,0.013367210649000427,0.01980296910151389,0.026096277271017463,0.3559290953545232,0.0059596577017114
EU Power Grid,adap_betweenness,,26,0.01263418809751623,0.004682847520134532,0.009525300263146644,0.01709710037371218,0.021487784548564166,0.02836566934027456,0.3404721882640587,0.00695293398533
EU Power Grid,adap_betweenness,,27,0.010244359894896108,0.004600383124521736,0.007102248416487082,0.013555299870559416,0.019150399327954107,0.02657059372378775,0.3692313569682151,0.0049663814180929
EU Power Grid,adap_betweenness,,28,0.010675169197431942,0.004199353896381671,0.007992076241605724,0.013227478219724805,0.01838043714121738,0.02478375904799106,0.4168169315403423,0.0059596577017114
